r	br	n	method	bias_ci	bias_es	bias_var
r=0	br=0.7	n=25	Tetrachoric (r)	0.999599893304881	-0.000369510812386485	0.97783138486801
r=0	br=0.7	n=25	Cooper (z)	1	1.2277231427753e-06	1.67092292911745
r=0	br=0.7	n=25	Lipsey (z)	0.992796157950907	0.0167839558405611	
r=0	br=0.7	n=25	Tetrachoric (z)	1	-0.000337017258667919	0.980721713319959
r=0	br=0.7	n=50	Cooper (r)	1	0.000401093029350154	2.4624932696614
r=0	br=0.7	n=50	Lipsey (r)	0.997319791225843	0.00687831320908037	0.94664170786836
r=0	br=0.7	n=50	Tetrachoric (r)	0.9988	-0.00020241018806964	0.947246492042706
r=0	br=0.7	n=50	Cooper (z)	1	0.000480607108827566	2.32328827745403
r=0	br=0.7	n=50	Lipsey (z)	0.997319791225843	0.00721950156471561	0.971413922850972
r=0	br=0.7	n=50	Tetrachoric (z)	1	-0.000168423227587381	0.939290162940731
r=0	br=0.7	n=75	Cooper (r)	1	0.000489741028403936	3.14287937291539
r=0	br=0.7	n=75	Lipsey (r)	0.998933333333333	0.00420293137873121	0.956196901318181
r=0	br=0.7	n=75	Tetrachoric (r)	0.999066666666667	0.00186665888320965	0.964642545380713
r=0	br=0.7	n=75	Cooper (z)	1	0.000574698903373751	2.98764877531123
r=0	br=0.7	n=75	Lipsey (z)	0.998933333333333	0.00431754151995787	0.971925636440645
r=0	br=0.7	n=75	Tetrachoric (z)	1	0.0021772501286408	0.960765799611618
r=0	br=0.7	n=100	Cooper (r)	1	-0.000137378591211689	3.72198107165233
r=0	br=0.7	n=100	Lipsey (r)	0.999163646501255	0.00379164104012962	0.976797031088377
r=0	br=0.7	n=100	Tetrachoric (r)	0.999866666666667	-0.00028124804640277	0.973498491471852
r=0	br=0.7	n=100	Cooper (z)	1	-0.000163207651518389	3.56605064883312
r=0	br=0.7	n=100	Lipsey (z)	0.999163646501255	0.00387695938126912	0.990131424355022
r=0	br=0.7	n=100	Tetrachoric (z)	1	-0.000378423051782644	0.972752109060703
r=0	br=0.7	n=300	Cooper (r)	1	2.02115225489491e-05	6.6064864724285
r=0	br=0.7	n=300	Lipsey (r)	0.99972647702407	0.00121844328447243	0.979021511862652
r=0	br=0.7	n=300	Tetrachoric (r)	1	-5.30576528694205e-05	0.980544030904293
r=0	br=0.7	n=300	Cooper (z)	1	1.84508743196758e-05	6.42441763971459
r=0	br=0.7	n=300	Lipsey (z)	0.99972647702407	0.0012282870664492	0.983253760812899
r=0	br=0.7	n=300	Tetrachoric (z)	1	-6.77313529143739e-05	0.980122201777352
r=0.1	br=0.3	n=25	Cooper (r)	1	0.014897554584657	1.73799908757004
r=0.1	br=0.3	n=25	Lipsey (r)	0.998926030339643	0.0470594869801461	0.643042248543916
r=0.1	br=0.3	n=25	Tetrachoric (r)	0.9992	0.058928663469773	0.927973615101015
r=0.1	br=0.3	n=25	Cooper (z)	1	0.017254595908532	1.66726052330838
r=0.1	br=0.3	n=25	Lipsey (z)	0.998926030339643	0.0606565999415928	
r=0.1	br=0.3	n=25	Tetrachoric (z)	1	0.0757981529131219	0.93357320991609
r=0.1	br=0.3	n=50	Cooper (r)	1	0.0164931469530152	2.56366588499714
r=0.1	br=0.3	n=50	Lipsey (r)	0.999301578432742	0.0356223394615183	0.737568550111746
r=0.1	br=0.3	n=50	Tetrachoric (r)	0.997066666666667	0.0652281317036956	0.937841836878775
r=0.1	br=0.3	n=50	Cooper (z)	1	0.0180519092906558	2.45676144439805
r=0.1	br=0.3	n=50	Lipsey (z)	0.999301578432742	0.0417370989810253	
r=0.1	br=0.3	n=50	Tetrachoric (z)	1	0.0748221158940779	0.931772017071795
r=0.1	br=0.3	n=75	Cooper (r)	1	0.0160683154467319	3.34312453199406
r=0.1	br=0.3	n=75	Lipsey (r)	0.999466666666667	0.0298394667155902	0.80923594756234
r=0.1	br=0.3	n=75	Tetrachoric (r)	0.998133333333333	0.0652962781528632	0.979964852124763
r=0.1	br=0.3	n=75	Cooper (z)	1	0.0170932468272661	3.22779398210806
r=0.1	br=0.3	n=75	Lipsey (z)	0.999466666666667	0.0330289812332679	0.81064620705243
r=0.1	br=0.3	n=75	Tetrachoric (z)	0.999866666666667	0.0718028638917286	0.975680449144752
r=0.1	br=0.3	n=100	Cooper (r)	1	0.0160698078999544	3.81554931903724
r=0.1	br=0.3	n=100	Lipsey (r)	0.99972647702407	0.0275193934588984	0.826297341606375
r=0.1	br=0.3	n=100	Tetrachoric (r)	0.999066666666667	0.0654366909372695	0.964568278440372
r=0.1	br=0.3	n=100	Cooper (z)	1	0.016886940285365	3.70512893177944
r=0.1	br=0.3	n=100	Lipsey (z)	0.99972647702407	0.0295215769925311	0.844252819842732
r=0.1	br=0.3	n=100	Tetrachoric (z)	0.999866666666667	0.0705826445954363	0.963268381740569
r=0.1	br=0.3	n=300	Cooper (r)	1	0.0155296165845695	7.0112288599516
r=0.1	br=0.3	n=300	Lipsey (r)	0.99986602357985	0.0231498332111092	0.871467643448948
r=0.1	br=0.3	n=300	Tetrachoric (r)	0.9968	0.0662628313263026	1.0079991494213
r=0.1	br=0.3	n=300	Cooper (z)	1	0.0158997425315116	6.91204319625047
r=0.1	br=0.3	n=300	Lipsey (z)	0.99986602357985	0.0238613258172735	0.877790559213391
r=0.1	br=0.3	n=300	Tetrachoric (z)	0.9988	0.0687529838258713	1.00686817796108
