"method","n","n_cells","rho_categories","rho_floor_position","rho_sd_over_max","c_min","c_max"
"alpha",200,20,-0.162869014209191,-0.957894736842105,-0.294736842105263,0.877113348100995,3.79478520178555
"omega",200,20,-0.162869014209191,-0.957894736842105,-0.294736842105263,0.838931642158635,4.28151191007458
"alpha",1000,20,-0.170624681552486,-0.95187969924812,-0.255639097744361,0.863309106203147,3.78453420806246
"omega",1000,20,-0.147357679522601,-0.962406015037594,-0.285714285714286,0.83995052123825,4.06935696399367
