r	n	method	bias_ci	bias_es	bias_var	br
r=0	n=25	Bonett (r)	0.990755555555556	-0.000978438513728023	0.896358474696095	br=
r=0	n=25	Cooper (r)	0.993733333333333	-0.000174771386269938	1.77444096886419	br=
r=0	n=25	Digby (r)	0.991022222222222	-0.000755835138301794	0.896877079766511	br=
r=0	n=25	Pearson (r)	0.991511111111111	-0.000844521773619003	0.897076439049492	br=
r=0	n=25	Bonett (z)	0.990977777777778	-0.00133465539643586	0.910499560828361	br=
r=0	n=25	Cooper (z)	0.998488888888889	-0.000151327994190021	1.67825576572877	br=
r=0	n=25	Digby (z)	0.991155555555556	-0.000840211003830812	0.906529183726687	br=
r=0	n=25	Pearson (z)	0.991822222222222	-0.000959971233151684	0.910790067135484	br=
r=0	n=50	Bonett (r)	0.987911111111111	0.000354444158919496	0.930029269152571	br=
r=0	n=50	Cooper (r)	0.998355555555556	0.000433699288988733	2.58087440427259	br=
r=0	n=50	Digby (r)	0.988088888888889	0.000624214613480269	0.930297557476103	br=
r=0	n=50	Pearson (r)	0.988266666666667	0.000650536422560774	0.930455962928303	br=
r=0	n=50	Bonett (z)	0.987955555555556	8.8184944822297e-05	0.928820832239074	br=
r=0	n=50	Cooper (z)	0.999777777777778	0.000399832004148389	2.4469807396217	br=
r=0	n=50	Digby (z)	0.9884	0.000501980516327137	0.927538022162422	br=
r=0	n=50	Pearson (z)	0.988311111111111	0.000500656717501262	0.92824473935036	br=
r=0	n=75	Bonett (r)	0.987422222222222	0.00166901452374399	0.966535792946435	br=
r=0	n=75	Cooper (r)	0.999822222222222	0.000976932878752351	3.35028469418372	br=
r=0	n=75	Digby (r)	0.987244444444445	0.0018928916451248	0.967045883752271	br=
r=0	n=75	Pearson (r)	0.987333333333333	0.00202931236406976	0.967109417151239	br=
r=0	n=75	Bonett (z)	0.987466666666667	0.00177911474911087	0.963313835507458	br=
r=0	n=75	Cooper (z)	1	0.00101538459202462	3.19508256757758	br=
r=0	n=75	Digby (z)	0.987244444444445	0.00206728785566385	0.963053267972929	br=
r=0	n=75	Pearson (z)	0.987333333333333	0.00223768229343916	0.962909334202834	br=
r=0	n=100	Bonett (r)	0.984933333333333	0.000376105810963242	0.945472961699424	br=
r=0	n=100	Cooper (r)	0.999866666666667	0.000507441294730441	3.76596924096374	br=
r=0	n=100	Digby (r)	0.985022222222222	0.000502976762891203	0.946246310623891	br=
r=0	n=100	Pearson (r)	0.984888888888889	0.000499184986354581	0.946252807298115	br=
r=0	n=100	Bonett (z)	0.984933333333333	0.000326654916453302	0.944388267676596	br=
r=0	n=100	Cooper (z)	0.999955555555556	0.000501849224804607	3.61262367961923	br=
r=0	n=100	Digby (z)	0.984933333333333	0.000489292315705398	0.94493225080327	br=
r=0	n=100	Pearson (z)	0.984933333333333	0.000482930647731632	0.944964228324596	br=
r=0	n=300	Bonett (r)	0.9848	0.000293293651102562	0.992506468021908	br=
r=0	n=300	Cooper (r)	1	0.000310300965747561	6.89961378226875	br=
r=0	n=300	Digby (r)	0.984977777777778	0.000331010367929561	0.992214279710967	br=
r=0	n=300	Pearson (r)	0.9852	0.000336162119442428	0.992212134101959	br=
r=0	n=300	Bonett (z)	0.984844444444444	0.000301646687028226	0.992215533365856	br=
r=0	n=300	Cooper (z)	1	0.000315707843689741	6.71404205592611	br=
r=0	n=300	Digby (z)	0.985022222222222	0.000343898548854034	0.991858983768456	br=
r=0	n=300	Pearson (z)	0.9852	0.000350828386783076	0.991837513280113	br=
r=0.1	n=25	Bonett (r)	0.990666666666667	-0.0054988580466975	0.895420334542687	br=
r=0.1	n=25	Cooper (r)	0.993866666666667	-0.03033352262776	1.76427253212039	br=
r=0.1	n=25	Digby (r)	0.990977777777778	-0.00467432828008196	0.895343571376816	br=
r=0.1	n=25	Pearson (r)	0.991422222222222	-0.000444005269697567	0.895609672906702	br=
r=0.1	n=25	Bonett (z)	0.991244444444444	0.00175474340582894	0.908263931668998	br=
r=0.1	n=25	Cooper (z)	0.9988	-0.0308364570219557	1.6738139243061	br=
r=0.1	n=25	Digby (z)	0.9916	0.00281302869096843	0.905047636929448	br=
r=0.1	n=25	Pearson (z)	0.991688888888889	0.00928118978790198	0.909649035194649	br=
r=0.1	n=50	Bonett (r)	0.989288888888889	-0.00235067022074434	0.929764037058966	br=
r=0.1	n=50	Cooper (r)	0.9988	-0.0289476179131296	2.56402881170332	br=
r=0.1	n=50	Digby (r)	0.989511111111111	-0.000190804680109173	0.928716716349958	br=
r=0.1	n=50	Pearson (r)	0.989377777777778	0.00438636774161212	0.928906020787555	br=
r=0.1	n=50	Bonett (z)	0.989644444444444	0.0016751476823974	0.928915051722133	br=
r=0.1	n=50	Cooper (z)	0.999777777777778	-0.0290430103997021	2.43878543282924	br=
r=0.1	n=50	Digby (z)	0.989777777777778	0.00436311658490394	0.925640478498271	br=
r=0.1	n=50	Pearson (z)	0.989466666666667	0.0101347419462536	0.926668931302245	br=
r=0.1	n=75	Bonett (r)	0.9868	-0.00291268230351373	0.970932262816135	br=
r=0.1	n=75	Cooper (r)	0.999733333333333	-0.0295654610829174	3.35546486357684	br=
r=0.1	n=75	Digby (r)	0.987022222222222	-0.000972711519979193	0.971786738102933	br=
r=0.1	n=75	Pearson (r)	0.9872	0.00358784800704605	0.971859653442535	br=
r=0.1	n=75	Bonett (z)	0.987022222222222	-0.000624003186112249	0.96871959978033	br=
r=0.1	n=75	Cooper (z)	0.999911111111111	-0.029829191868843	3.21486789281866	br=
r=0.1	n=75	Digby (z)	0.987244444444445	0.00156388154056335	0.969074379515738	br=
r=0.1	n=75	Pearson (z)	0.987377777777778	0.00681521145378566	0.969166622089767	br=
r=0.1	n=100	Bonett (r)	0.985155555555556	-0.00228785383911188	0.969773768563221	br=
r=0.1	n=100	Cooper (r)	0.999955555555556	-0.0294829051201625	3.84350346981311	br=
r=0.1	n=100	Digby (r)	0.985333333333333	6.32312036792533e-05	0.970884590218881	br=
r=0.1	n=100	Pearson (r)	0.985333333333333	0.00472163501119052	0.970916158776573	br=
r=0.1	n=100	Bonett (z)	0.985288888888889	-0.00054993194609817	0.968386300964838	br=
r=0.1	n=100	Cooper (z)	1	-0.0297179042854747	3.70123365183393	br=
r=0.1	n=100	Digby (z)	0.985466666666667	0.00204499980994187	0.969096059039046	br=
r=0.1	n=100	Pearson (z)	0.985422222222222	0.00723621437839808	0.969136331105689	br=
r=0.1	n=300	Bonett (r)	0.9844	-0.00162531900708042	0.978308285137719	br=
r=0.1	n=300	Cooper (r)	1	-0.0295552052231279	6.77107504594335	br=
r=0.1	n=300	Digby (r)	0.984577777777778	0.00103383887325323	0.977432502548271	br=
r=0.1	n=300	Pearson (r)	0.985244444444444	0.00579003774771196	0.977431503421356	br=
r=0.1	n=300	Bonett (z)	0.984533333333333	-0.00105675471780517	0.978007114843643	br=
r=0.1	n=300	Cooper (z)	1	-0.0297756397727981	6.62010361214462	br=
r=0.1	n=300	Digby (z)	0.984933333333333	0.00171276655396912	0.976865796060756	br=
r=0.1	n=300	Pearson (z)	0.985422222222222	0.00667500402419973	0.976846368315132	br=
r=0.2	n=25	Bonett (r)	0.99	-0.0106723689316073	0.924782846776943	br=
r=0.2	n=25	Cooper (r)	0.994088888888889	-0.060929801449808	1.80566682798071	br=
r=0.2	n=25	Digby (r)	0.990622222222222	-0.00947310553484729	0.923769990943668	br=
r=0.2	n=25	Pearson (r)	0.991155555555556	-0.000963939402040251	0.924085180007782	br=
r=0.2	n=25	Bonett (z)	0.991022222222222	0.00361607035094415	0.942968739391551	br=
r=0.2	n=25	Cooper (z)	0.998088888888889	-0.0635992660740077	1.73269449847103	br=
r=0.2	n=25	Digby (z)	0.991333333333333	0.00496489002993853	0.939672464592275	br=
r=0.2	n=25	Pearson (z)	0.991644444444444	0.018317240806504	0.946053794633518	br=
r=0.2	n=50	Bonett (r)	0.986355555555556	-0.00656663880218412	0.937834463359165	br=
r=0.2	n=50	Cooper (r)	0.998533333333333	-0.0597868250303586	2.55238490143049	br=
r=0.2	n=50	Digby (r)	0.987288888888889	-0.00278590390280699	0.93694507301728	br=
r=0.2	n=50	Pearson (r)	0.988444444444444	0.00632780838549056	0.937209274108876	br=
r=0.2	n=50	Bonett (z)	0.987511111111111	0.00166279456905563	0.940791867500682	br=
r=0.2	n=50	Cooper (z)	0.999555555555555	-0.061352867364293	2.45533338049293	br=
r=0.2	n=50	Digby (z)	0.988311111111111	0.00641480303079733	0.935780818396971	br=
r=0.2	n=50	Pearson (z)	0.988933333333333	0.01834637040549	0.938091055869872	br=
r=0.2	n=75	Bonett (r)	0.986	-0.00462276844244421	0.954044843915833	br=
r=0.2	n=75	Cooper (r)	0.9996	-0.0588058841203347	3.24065098029697	br=
r=0.2	n=75	Digby (r)	0.986533333333333	-0.00100204225437631	0.954245519418469	br=
r=0.2	n=75	Pearson (r)	0.986888888888889	0.00826458040482196	0.954617358112628	br=
r=0.2	n=75	Bonett (z)	0.987288888888889	0.000661394503905982	0.944394153173686	br=
r=0.2	n=75	Cooper (z)	0.999911111111111	-0.0604265803794478	3.12800449273262	br=
r=0.2	n=75	Digby (z)	0.987333333333333	0.00490252234135768	0.941928600252275	br=
r=0.2	n=75	Pearson (z)	0.987555555555556	0.0160774916273629	0.941513840038783	br=
r=0.2	n=100	Bonett (r)	0.984755555555556	-0.00499673413588866	0.974435196019949	br=
r=0.2	n=100	Cooper (r)	0.999822222222222	-0.0596472193864232	3.79988826138243	br=
r=0.2	n=100	Digby (r)	0.9852	-0.000461616179573305	0.973542704789723	br=
r=0.2	n=100	Pearson (r)	0.986177777777778	0.00889988204171773	0.973705588181958	br=
r=0.2	n=100	Bonett (z)	0.985466666666667	-0.00135699814058806	0.970824953620749	br=
r=0.2	n=100	Cooper (z)	0.999866666666667	-0.0613980645901727	3.69986094141377	br=
r=0.2	n=100	Digby (z)	0.985955555555556	0.00381575881314233	0.968022415490184	br=
r=0.2	n=100	Pearson (z)	0.986622222222222	0.0146563408343521	0.967937343124308	br=
r=0.2	n=300	Bonett (r)	0.985644444444444	-0.00567364802442588	1.0073573066824	br=
r=0.2	n=300	Cooper (r)	1	-0.0608218200432936	6.86272144891723	br=
r=0.2	n=300	Digby (r)	0.986044444444444	-0.000659806757580005	1.0034418171411	br=
r=0.2	n=300	Pearson (r)	0.986177777777778	0.00876153171238146	1.00344928481329	br=
r=0.2	n=300	Bonett (z)	0.986755555555556	-0.00474740454485171	1.0071301441577	br=
r=0.2	n=300	Cooper (z)	1	-0.0626638101739299	6.80236178716685	br=
r=0.2	n=300	Digby (z)	0.986977777777778	0.00063205329889515	1.00231576375467	br=
r=0.2	n=300	Pearson (z)	0.986844444444444	0.0107839836329379	1.00231289901738	br=
r=0.3	n=25	Bonett (r)	0.989111111111111	-0.0179464909498152	0.947675155870001	br=
r=0.3	n=25	Cooper (r)	0.994533333333333	-0.091741667988182	1.82855028035243	br=
r=0.3	n=25	Digby (r)	0.989511111111111	-0.0164904174785579	0.948186488601677	br=
r=0.3	n=25	Pearson (r)	0.990755555555556	-0.00404757225490204	0.948515119054863	br=
r=0.3	n=25	Bonett (z)	0.991244444444444	0.00289606123901602	0.980082891844455	br=
r=0.3	n=25	Cooper (z)	0.996977777777778	-0.0991077521841455	1.79291799228335	br=
r=0.3	n=25	Digby (z)	0.991333333333333	0.00427143902916468	0.976844956499121	br=
r=0.3	n=25	Pearson (z)	0.992222222222222	0.024775629166965	0.98662587404115	br=
r=0.3	n=50	Bonett (r)	0.987733333333333	-0.00943767559583701	0.949500887847121	br=
r=0.3	n=50	Cooper (r)	0.999022222222222	-0.0886096118842783	2.52372844465844	br=
r=0.3	n=50	Digby (r)	0.988844444444444	-0.00436657468476683	0.947116873861627	br=
r=0.3	n=50	Pearson (r)	0.989555555555556	0.00914687744285477	0.947701994722771	br=
r=0.3	n=50	Bonett (z)	0.989911111111111	0.00341472755209828	0.956274907667487	br=
r=0.3	n=50	Cooper (z)	0.999377777777778	-0.0943099577512668	2.47015842514714	br=
r=0.3	n=50	Digby (z)	0.9904	0.0100651925511156	0.94792033306884	br=
r=0.3	n=50	Pearson (z)	0.991022222222222	0.0289765255619935	0.952372441040308	br=
r=0.3	n=75	Bonett (r)	0.986088888888889	-0.00676975008432636	0.961897112336112	br=
r=0.3	n=75	Cooper (r)	0.999555555555555	-0.0879545629748009	3.18526727403839	br=
r=0.3	n=75	Digby (r)	0.987111111111111	-0.00191267269390948	0.959520896308219	br=
r=0.3	n=75	Pearson (r)	0.9872	0.0119684657992322	0.96010871253966	br=
r=0.3	n=75	Bonett (z)	0.988177777777778	0.00125958766505153	0.955106919921687	br=
r=0.3	n=75	Cooper (z)	0.999866666666667	-0.0939401095328336	3.14206851026557	br=
r=0.3	n=75	Digby (z)	0.988933333333333	0.00723732719811432	0.948265145741713	br=
r=0.3	n=75	Pearson (z)	0.988622222222222	0.0250418691337186	0.948923150248956	br=
r=0.3	n=100	Bonett (r)	0.984533333333333	-0.00552565939330123	0.967352846024733	br=
r=0.3	n=100	Cooper (r)	0.999822222222222	-0.0874999831381301	3.67265923986864	br=
r=0.3	n=100	Digby (r)	0.984977777777778	0.00064336508512586	0.964321711238209	br=
r=0.3	n=100	Pearson (r)	0.985066666666667	0.0146924116709109	0.965042987432268	br=
r=0.3	n=100	Bonett (z)	0.986488888888889	0.000574390592175734	0.953533548270686	br=
r=0.3	n=100	Cooper (z)	0.999955555555556	-0.0934776017392466	3.63118268601617	br=
r=0.3	n=100	Digby (z)	0.986888888888889	0.00802608604563911	0.945369967470593	br=
r=0.3	n=100	Pearson (z)	0.986622222222222	0.0254595865885577	0.944555764605522	br=
r=0.3	n=300	Bonett (r)	0.981244444444444	-0.00745096960313762	0.981385471673774	br=
r=0.3	n=300	Cooper (r)	1	-0.0897163025995807	6.493534055624	br=
r=0.3	n=300	Digby (r)	0.983333333333333	-0.000639909277089095	0.975354291551914	br=
r=0.3	n=300	Pearson (r)	0.982133333333333	0.0134620555307541	0.975427784930581	br=
r=0.3	n=300	Bonett (z)	0.984933333333333	-0.00621833465832974	0.979191564238899	br=
r=0.3	n=300	Cooper (z)	1	-0.0960048712278438	6.5852587936697	br=
r=0.3	n=300	Digby (z)	0.986444444444444	0.00148452903842061	0.971739888161033	br=
r=0.3	n=300	Pearson (z)	0.983955555555556	0.0176014327422116	0.971594892239443	br=
r=0.5	n=25	Bonett (r)	0.984533333333333	-0.0281331420614972	1.02845536944381	br=
r=0.5	n=25	Cooper (r)	0.995422222222222	-0.149808500153264	1.88829619200347	br=
r=0.5	n=25	Digby (r)	0.985066666666667	-0.027283089668991	1.02609463514591	br=
