"k","shape","loading_min","loading_max","pop_alpha","pop_omega","omega_minus_alpha","gap_in_bonett_se"
4,"tau_equiv",0.7,0.7,0.793522267206478,0.793522267206478,0,0
4,"congeneric",0.4,0.9,0.736169859832462,0.756904702662354,0.0207348428298915,0.705305490720904
4,"extreme",0.25,0.95,0.670624511022136,0.715725528096093,0.0451010170739566,1.26890077793938
8,"tau_equiv",0.7,0.7,0.884875846501129,0.884875846501129,0,0
8,"congeneric",0.4,0.9,0.852106643129721,0.859894602943849,0.00778795981412739,0.503489717439187
8,"extreme",0.25,0.95,0.813266041816871,0.830569574621485,0.0173035328046144,0.905061209750252
20,"tau_equiv",0.7,0.7,0.950533462657614,0.950533462657614,2.22044604925031e-16,4.30674959035338e-14
20,"congeneric",0.4,0.9,0.935730623282056,0.938422421603297,0.00269179832124078,0.41493058246866
20,"extreme",0.25,0.95,0.917589969251381,0.923684610320555,0.00609464106917412,0.745117245654677
