"rho","n","p_exp","p_case","dgm","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.25,100,0.3,0.1,"CAT","2x2_tetrachoric (r)","own",1000,996,996,959,0.004,0.000639791040094992,0.00650015286078862,0.205141364099891,0.00459861128615889,935.212073761459,4558.86640836643,102.195159955143,0.2050393538083,0.97288842544317,0.00524444560260724,0.699557093089371,"09b_or_to_cor_CAT",1000
0.5,100,0.3,0.1,"CAT","2x2_tetrachoric (r)","own",1000,917,917,133,0.083,0.0535802784101077,0.00236328650011555,0.0715650603706393,0.00167200783155598,2799.10989200491,39112.799982396,913.810559873135,0.0893690045668871,0.849624060150376,0.0309939378700332,0.458516892463296,"09b_or_to_cor_CAT",1000
0,300,0.3,0.1,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,1000,0,-0.00285028169832813,0.00423194381698869,0.13382581391551,0.002993933511778,0.130357485278378,0.974083261400359,0.0217920626390492,0.133789249296939,0.952,0.00675988165576884,0.499391623991866,"09b_or_to_cor_CAT",1000
0.1,300,0.3,0.1,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,1000,0,-0.00484678840570464,0.00388054562475264,0.122713627384194,0.00274533313587265,0.123200232711853,1.00396537318659,0.0224605813146463,0.122747981935716,0.957,0.00641490451994416,0.473093122542036,"09b_or_to_cor_CAT",1000
0.25,300,0.3,0.1,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,1000,0,-0.00464075133999861,0.00329184301109327,0.104097216147617,0.0023288492316132,0.104755868283083,1.0063272790555,0.0225134215621718,0.104148599377397,0.957,0.00641490451994416,0.40531216178048,"09b_or_to_cor_CAT",1000
0.5,300,0.3,0.1,"CAT","2x2_tetrachoric (r)","own",1000,950,950,325,0.05,0.0381019166033213,0.00202952638604514,0.0625542043676584,0.00143584777850227,1407.95572915029,22507.7713541861,516.635673407335,0.0732165661279302,0.913846153846154,0.0155643933828017,0.221637595651376,"09b_or_to_cor_CAT",1000
0,25,0.5,0.1,"CAT","2x2_tetrachoric (r)","own",1000,740,740,534,0.26,0.0443214928171395,0.0211778611059118,0.576100106540309,0.0149851377150205,7537.89714443419,13084.3529776483,340.341598718797,0.577414258293189,0.98876404494382,0.00456121664935883,1.28003036488289,"09b_or_to_cor_CAT",1000
0.1,25,0.5,0.1,"CAT","2x2_tetrachoric (r)","own",1000,743,743,471,0.257,0.0417733881923443,0.0216352134873986,0.589733219130031,0.015308711597384,8931.85672916106,15145.5886143522,393.159890860103,0.590814863763508,0.991507430997877,0.00422821512333869,1.28855521739267,"09b_or_to_cor_CAT",1000
0.25,25,0.5,0.1,"CAT","2x2_tetrachoric (r)","own",1000,730,730,241,0.27,0.151103570434317,0.0163512933156308,0.441787617479788,0.0115700377838595,12123.907578057,27442.8415337189,718.704420130388,0.46662749936472,0.962655601659751,0.0122134872480684,1.27721215810579,"09b_or_to_cor_CAT",1000
0,50,0.5,0.1,"CAT","2x2_tetrachoric (r)","own",1000,912,912,852,0.088,0.00349112478306282,0.0117778110409062,0.355682093474982,0.00833273969553589,2920.69933275131,8211.54448405413,192.375899543983,0.355504181041632,0.990610328638498,0.00330412770609004,1.05084471656259,"09b_or_to_cor_CAT",1000
