"rho","n","p_exp","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0,25,0.3,"lipsey_cooper","own",1000,995,0.005,0.00443278711861754,0.00625529218317763,0.197314563313098,0.00442538389105607,0.190828556434861,0.967128595227182,0.0216908231913258,0.197265196668801,0.922613065326633,0.00847094929301617,0.78794768821132,"01a_smd_to_cor_r",1000
0.1,25,0.3,"lipsey_cooper","own",1000,999,0.001,-0.00767971556506129,0.00601477386162607,0.190108724423404,0.00425521765666082,0.190454234495964,1.00181743406889,0.0224237538131405,0.190168682038992,0.936936936936937,0.00769059545149566,0.786151574174538,"01a_smd_to_cor_r",1000
0.25,25,0.3,"lipsey_cooper","own",1000,998,0.002,-0.00557165050337556,0.0059455643926167,0.187827145202332,0.00420625677122849,0.184161765575766,0.980485357307549,0.021957279757527,0.187815680996671,0.929859719438878,0.00808401659154867,0.757992070303448,"01a_smd_to_cor_r",1000
0.5,25,0.3,"lipsey_cooper","own",1000,998,0.002,-0.0127759373542335,0.00525511373761605,0.166015023279492,0.00371778964666045,0.163586707899776,0.985372917873654,0.0220667332377672,0.166422944059329,0.929859719438878,0.00808401659154867,0.667483130934833,"01a_smd_to_cor_r",1000
0.75,25,0.3,"lipsey_cooper","own",1000,999,0.001,-0.0130635789522507,0.00418360678382422,0.132231097537373,0.0029597384481288,0.127771380417492,0.966273310870605,0.0216281670714872,0.132808951826518,0.920920920920921,0.00853806048279653,0.513604768645712,"01a_smd_to_cor_r",1000
0,50,0.3,"lipsey_cooper","own",1000,1000,0,-0.00538396191162894,0.00459848575491935,0.14541688773384,0.00325324749109816,0.137799557396537,0.947617292214056,0.0211999694564994,0.145443845565304,0.927,0.00822623850857729,0.5538045235693,"01a_smd_to_cor_r",1000
0.1,50,0.3,"lipsey_cooper","own",1000,1000,0,-0.00193793313487609,0.00434858389177344,0.137514296943232,0.00307645176906499,0.137274743362121,0.998257973269423,0.0223328961141818,0.137459184002972,0.94,0.00750999334220744,0.551578801747849,"01a_smd_to_cor_r",1000
0.25,50,0.3,"lipsey_cooper","own",1000,1000,0,-0.00604020901143646,0.00412475057755011,0.130436066051533,0.00291809851829277,0.132905343978844,1.0189309445007,0.0227953891082196,0.130510681112983,0.946,0.00714730718522718,0.533292357728555,"01a_smd_to_cor_r",1000
0.5,50,0.3,"lipsey_cooper","own",1000,1000,0,-0.0076417684636483,0.00369146380674057,0.116734335293758,0.00261156519945967,0.116438552136811,0.997466185452606,0.0223151823412584,0.116925937057144,0.933,0.00790638982089803,0.464692041685693,"01a_smd_to_cor_r",1000
0.75,50,0.3,"lipsey_cooper","own",1000,1000,0,-0.00761887582434455,0.00269736945692812,0.0852983117486432,0.00190828261432118,0.0892308092901461,1.04610287660899,0.0234032760004311,0.0855954055660019,0.952,0.00675988165576884,0.354084865563004,"01a_smd_to_cor_r",1000
0,100,0.3,"lipsey_cooper","own",1000,1000,0,-0.00112163811296931,0.00313726819201573,0.0992091311756818,0.00221949363736938,0.0987930317399829,0.995805835301973,0.0222780372060126,0.0991658576778393,0.955,0.00655553201502365,0.392040892718389,"01a_smd_to_cor_r",1000
0.1,100,0.3,"lipsey_cooper","own",1000,1000,0,-0.00107614112229046,0.00314808075832526,0.0995510545445791,0.00222714310201786,0.0981057688147131,0.985481964641381,0.0220470729291092,0.0995070858190104,0.939,0.00756828910652864,0.389259859654666,"01a_smd_to_cor_r",1000
0.25,100,0.3,"lipsey_cooper","own",1000,1000,0,-0.000124126952470786,0.00309905009150385,0.0980005687210538,0.00219245583705178,0.0945024145250599,0.964304756169824,0.0215732992058354,0.0979516348290353,0.945,0.00720936890441875,0.374617445396116,"01a_smd_to_cor_r",1000
0.5,100,0.3,"lipsey_cooper","own",1000,1000,0,-0.00471687032407039,0.00261964662999924,0.0828405001558196,0.00185329677655122,0.0824751765966512,0.995590036775716,0.0222732093897592,0.0829333152795328,0.952,0.00675988165576884,0.326105698170077,"01a_smd_to_cor_r",1000
0.75,100,0.3,"lipsey_cooper","own",1000,1000,0,-0.00568131177229029,0.00197643754584178,0.0625004429793346,0.00139825169197131,0.0627714805619386,1.00433657058549,0.0224688856940445,0.0627269987381384,0.949,0.00695693898205238,0.247269331104451,"01a_smd_to_cor_r",1000
0,300,0.3,"lipsey_cooper","own",1000,1000,0,0.000427778934640548,0.00189780798309084,0.0600139578821736,0.00134262437433267,0.057477013497196,0.95772742751014,0.0214261520739327,0.0599854687433511,0.939,0.00756828910652864,0.226219904281816,"01a_smd_to_cor_r",1000
