"rho","n","p_split","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0,25,0.15,"biserial_split_p","own",1000,1000,0,-0.0135408793796791,0.0121570620766154,0.384440058181612,0.00860064243051402,0.363672296945375,0.945979195470764,0.0211633221715565,0.384486306115993,0.946,0.00714730718522718,1.50419171189382,"02b_cor_to_smd_CONT",1000
0.1,25,0.15,"biserial_split_p","own",1000,1000,0,0.0134808847273274,0.011675679807578,0.369217414227831,0.00826008344164911,0.362602137342654,0.982082977047516,0.0219710312256019,0.369278907769112,0.95,0.00689202437604511,1.49967880338046,"02b_cor_to_smd_CONT",1000
0.25,25,0.15,"biserial_split_p","own",1000,1000,0,-0.0232031083897405,0.0117212471094029,0.370658378833781,0.00829232051233687,0.356226719630326,0.961064797054197,0.0215008152665321,0.371198909487667,0.94,0.00750999334220744,1.47227560274235,"02b_cor_to_smd_CONT",1000
0.5,25,0.15,"biserial_split_p","own",1000,1000,0,0.0017025522737889,0.0106904244015836,0.338060902628467,0.00756305406100715,0.324325406685828,0.959369759011338,0.0214628940983226,0.337896119238344,0.932,0.00796090447122687,1.33548338378444,"02b_cor_to_smd_CONT",1000
0.75,25,0.15,"biserial_split_p","own",1000,1000,0,-0.00836716359692251,0.0081803625894378,0.258685778686563,0.0057872842254414,0.247375051863573,0.956276193919827,0.0213936852668771,0.258691753230049,0.934,0.00785136930732467,1.00519166392768,"02b_cor_to_smd_CONT",1000
0,50,0.15,"biserial_split_p","own",1000,1000,0,0.0127779079499113,0.00846548891846845,0.267702264892757,0.00598899986924276,0.256663909128776,0.958766296697553,0.0214493935187896,0.267873315314646,0.942,0.00739161687318817,1.03205392149636,"02b_cor_to_smd_CONT",1000
0.1,50,0.15,"biserial_split_p","own",1000,1000,0,0.00124141283744641,0.00819830495934144,0.259253166241731,0.00579997774521819,0.255862405654642,0.986921044644342,0.0220792678377067,0.259126480908434,0.95,0.00689202437604511,1.02877565065606,"02b_cor_to_smd_CONT",1000
0.25,50,0.15,"biserial_split_p","own",1000,1000,0,-0.00343318717070809,0.00845544799037383,0.267384742866748,0.00598189630822876,0.25077222227085,0.937870349602643,0.0209819121380503,0.267273068024723,0.925,0.00832916562447884,1.00793640402286,"02b_cor_to_smd_CONT",1000
0.5,50,0.15,"biserial_split_p","own",1000,1000,0,-0.00488839107736499,0.00710073968558647,0.224545104784011,0.00502349355814856,0.229584216812463,1.0224414245561,0.0228739251064159,0.22448603507948,0.955,0.00655553201502365,0.921371732824791,"02b_cor_to_smd_CONT",1000
0.75,50,0.15,"biserial_split_p","own",1000,1000,0,0.00287667436124893,0.00570429905005307,0.180385774529025,0.0040355668283209,0.172411366774484,0.955792479892821,0.0213828636802698,0.180318506760023,0.93,0.00806845710157772,0.686892327826045,"02b_cor_to_smd_CONT",1000
0,100,0.15,"biserial_split_p","own",1000,1000,0,-0.00467319227137499,0.00566612986414902,0.179178758890113,0.00400856363316111,0.18315027203135,1.02216508901969,0.0228677429641315,0.179150108388941,0.954,0.00662449998113065,0.726902962691237,"02b_cor_to_smd_CONT",1000
0.1,100,0.15,"biserial_split_p","own",1000,1000,0,0.00541885277569656,0.00597447081893208,0.188929356020368,0.0042267027100252,0.182359090540558,0.965223691975631,0.0215938575168494,0.188912602094485,0.945,0.00720936890441875,0.723740043918979,"02b_cor_to_smd_CONT",1000
0.25,100,0.15,"biserial_split_p","own",1000,1000,0,-0.000152297821464323,0.00572777424167854,0.181128125269479,0.00405217460147251,0.178716042666353,0.986683003539414,0.0220739424134079,0.181037602614758,0.952,0.00675988165576884,0.709165818791101,"02b_cor_to_smd_CONT",1000
0.5,100,0.15,"biserial_split_p","own",1000,1000,0,-0.00219495531958259,0.00527373529250553,0.166770153011318,0.00373095993408385,0.162634031821348,0.975198672452565,0.0218170164684406,0.166701198197067,0.947,0.00708456067798138,0.644741428894211,"02b_cor_to_smd_CONT",1000
0.75,100,0.15,"biserial_split_p","own",1000,1000,0,-0.00891878974586226,0.00406948281533248,0.12868834595365,0.00287899875407565,0.121961376830088,0.947726664184609,0.021202416311843,0.128932829428478,0.937,0.00768316341099159,0.481701817599795,"02b_cor_to_smd_CONT",1000
0,300,0.15,"biserial_split_p","own",1000,1000,0,-0.00327306649468772,0.00337758340573069,0.106808565492976,0.00238950718264448,0.105625809020557,0.988926389311944,0.0221241311449218,0.106805311465691,0.943,0.00733150734842434,0.415733259585791,"02b_cor_to_smd_CONT",1000
0.1,300,0.15,"biserial_split_p","own",1000,1000,0,-4.28406196276811e-05,0.00341440990594186,0.107973121682176,0.00241556048057843,0.105236767044061,0.974657075802909,0.0218048999394106,0.107919130121155,0.945,0.00720936890441875,0.414198286934592,"02b_cor_to_smd_CONT",1000
0.25,300,0.15,"biserial_split_p","own",1000,1000,0,-0.000501810997743242,0.00335014846421491,0.105940996466342,0.00237009804245977,0.103110720918959,0.97328441640359,0.0217741909838239,0.1058892017716,0.942,0.00739161687318817,0.405806929303777,"02b_cor_to_smd_CONT",1000
0.5,300,0.15,"biserial_split_p","own",1000,1000,0,-0.00650371151091797,0.00302384000433167,0.0956222169362151,0.00213924766365766,0.0939674841489976,0.982695101198906,0.0219847255866268,0.0957954227864882,0.95,0.00689202437604511,0.369714638772305,"02b_cor_to_smd_CONT",1000
0.75,300,0.15,"biserial_split_p","own",1000,1000,0,0.00336187139482138,0.00223643424521283,0.0707222605207205,0.00158218911289684,0.069592897177305,0.984031006148558,0.0220146122764985,0.0707667907588215,0.941,0.00745110730026082,0.273489399608416,"02b_cor_to_smd_CONT",1000
0,25,0.3,"biserial_split_p","own",1000,1000,0,-0.00321096333220816,0.0111459910055296,0.35246718357224,0.00788534948395807,0.333334567048755,0.94571802024354,0.0211574791937157,0.352305538794627,0.946,0.00714730718522718,1.37903502587772,"02b_cor_to_smd_CONT",1000
0.1,25,0.3,"biserial_split_p","own",1000,1000,0,0.00792901284785855,0.0109450810078956,0.346113851600014,0.00774321357649325,0.332837316600662,0.961641133580824,0.0215137089915216,0.346031606527306,0.951,0.00682634602111555,1.37694363897307,"02b_cor_to_smd_CONT",1000
0.25,25,0.3,"biserial_split_p","own",1000,1000,0,0.00348726822154881,0.0111315766690946,0.352011362231294,0.00787515190885568,0.329702550197787,0.936624738780879,0.0209540454965347,0.351852594392084,0.95,0.00689202437604511,1.36373280836088,"02b_cor_to_smd_CONT",1000
0.5,25,0.3,"biserial_split_p","own",1000,1000,0,0.00480730011032774,0.010303702953828,0.325831696679014,0.00728946387355931,0.314630529198388,0.965622842728957,0.0216027872650173,0.325704219193603,0.94,0.00750999334220744,1.29970495281248,"02b_cor_to_smd_CONT",1000
0.75,25,0.3,"biserial_split_p","own",1000,1000,0,0.00675132302425707,0.00871669562731464,0.275646118527445,0.00616671871819791,0.262815743431093,0.953453452691829,0.0213305352712946,0.27559096908129,0.921,0.00852988862764339,1.07713157287372,"02b_cor_to_smd_CONT",1000
0,50,0.3,"biserial_split_p","own",1000,1000,0,-0.00411358111913635,0.00777036452206271,0.245720501394839,0.0054972267467124,0.235761611540176,0.959470659557787,0.0214651514320801,0.245632057741958,0.935,0.0077958322198467,0.948049291121361,"02b_cor_to_smd_CONT",1000
0.1,50,0.3,"biserial_split_p","own",1000,1000,0,0.00553500015373042,0.00760773370821699,0.240577663500045,0.00538217185357658,0.235403180426124,0.97849142352353,0.0218906814624269,0.240521040222405,0.953,0.00669260786241059,0.946600014689078,"02b_cor_to_smd_CONT",1000
0.25,50,0.3,"biserial_split_p","own",1000,1000,0,-0.00191409125081005,0.00764785489596626,0.241846406857235,0.00541055601313292,0.233298021102511,0.964653658221312,0.0215811047966531,0.241733031608346,0.945,0.00720936890441875,0.938065214719592,"02b_cor_to_smd_CONT",1000
