"n","k","icc","rater_share","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
50,3,0.8,0.5,"agreement","population",1000,1000,1000,1000,0,-0.0959867487325194,0.0123231938597079,0.389693606444783,0.00871817412145357,0.215462218529401,0.552901600041855,0.0123694418935204,0.401151719090517,0.676,0.014799459449588,0.842975202237644,"10a_icc_agreement_coverage",1000
200,3,0.8,0.5,"agreement","population",1000,1000,1000,1000,0,-0.0804043499297462,0.0107903883314428,0.341222039650632,0.00763377460280004,0.106896282781209,0.313274848514055,0.00700854371754881,0.350401066423347,0.387,0.015402305022301,0.418382233544662,"10a_icc_agreement_coverage",1000
1000,3,0.8,0.5,"agreement","population",1000,1000,1000,1000,0,-0.0839653926710476,0.0106163030743319,0.335716980455367,0.00751061614235958,0.0477429399257922,0.142211871026106,0.00318154527874955,0.345895030668997,0.171,0.0119062588582644,0.186861397246778,"10a_icc_agreement_coverage",1000
20,2,0.8,0.8,"agreement","population",1000,1000,1000,1000,0,-0.440176652093081,0.0256782603266839,0.812017889830604,0.0181663574567308,0.419618435923497,0.516760087651559,0.0115608887306758,0.923292567607589,0.587,0.0155701958882989,1.63982661009942,"10a_icc_agreement_coverage",1000
50,2,0.8,0.8,"agreement","population",1000,1000,1000,1000,0,-0.4318874183386,0.0233836327653205,0.739455395073542,0.0165429988654762,0.262020292943453,0.354342256056424,0.00792729835901558,0.856022329814618,0.383,0.0153724103510152,1.02445493329829,"10a_icc_agreement_coverage",1000
200,2,0.8,0.8,"agreement","population",1000,1000,1000,1000,0,-0.390790697441974,0.0235177095245493,0.743695274478114,0.0166378528900014,0.129547389700509,0.174194181604042,0.00389704932555348,0.839789823602894,0.209,0.0128576436410409,0.506464644757305,"10a_icc_agreement_coverage",1000
1000,2,0.8,0.8,"agreement","population",1000,1000,1000,1000,0,-0.390448747889422,0.0235242863110206,0.743903250727451,0.0166425057073042,0.0577963382363288,0.0776933535104339,0.00173814548861372,0.839814788584271,0.094,0.00922843432007835,0.225920370075028,"10a_icc_agreement_coverage",1000
20,3,0.8,0.8,"agreement","population",1000,1000,1000,1000,0,-0.21389871541715,0.0212805659147943,0.672950581880948,0.01505516192964,0.346230278284918,0.514495845025021,0.0115102333923666,0.705806123255784,0.639,0.0151881203577006,1.35068856620632,"10a_icc_agreement_coverage",1000
50,3,0.8,0.8,"agreement","population",1000,1000,1000,1000,0,-0.242574561953324,0.019380190253718,0.612855426891454,0.0137107210242992,0.217281988293544,0.354540367531129,0.00793173048287744,0.658831238332613,0.451,0.015735278834517,0.848690728253732,"10a_icc_agreement_coverage",1000
200,3,0.8,0.8,"agreement","population",1000,1000,1000,1000,0,-0.232814386240967,0.019227491514175,0.608026668763526,0.0136026926824084,0.107682364692825,0.177101384239948,0.00396208888064756,0.650791266028134,0.239,0.0134862522592453,0.420554953652628,"10a_icc_agreement_coverage",1000
1000,3,0.8,0.8,"agreement","population",1000,1000,1000,1000,0,-0.283906682039277,0.0187452235735015,0.592776017413454,0.0132615071157565,0.048431331351489,0.0817025823055671,0.00182783942803345,0.656989366367742,0.094,0.00922843432007835,0.189263188931385,"10a_icc_agreement_coverage",1000
