rr	n	br	br_guess	method	bias_ci	bias_es	bias_var
RR=0.25	n=25	br=0.15	guessed br=0.01	metaumbrella (cases)	1	0	2.57840788230901
RR=0.25	n=25	br=0.15	guessed br=0.01	metaumbrella (exp)	0.617566666666667	0.436633968491986	1.26894331709928
RR=0.25	n=25	br=0.15	guessed br=0.01	OR = RR	1	-0.126382378634108	2.27967639661337
RR=0.25	n=25	br=0.15	guessed br=0.05	dipietrantonj (br)	1	0.0808892507618068	2.3270718019844
RR=0.25	n=25	br=0.15	guessed br=0.05	dipietrantonj (random)	1	0.0808892507618068	2.3270718019844
RR=0.25	n=25	br=0.15	guessed br=0.05	Grant	1	-0.108818896364026	2.07810883034333
RR=0.25	n=25	br=0.15	guessed br=0.05	metaumbrella (cases)	1	0	2.59514223783116
RR=0.25	n=25	br=0.15	guessed br=0.05	metaumbrella (exp)	0.617033333333333	0.442585645534965	1.23995538750396
RR=0.25	n=25	br=0.15	guessed br=0.05	OR = RR	1	-0.12775099201751	2.26807647365428
RR=0.25	n=25	br=0.15	guessed br=0.15	dipietrantonj (br)	1	0.0781453658277864	2.3777263832832
RR=0.25	n=25	br=0.15	guessed br=0.15	dipietrantonj (random)	1	0.0781453658277864	2.3777263832832
RR=0.25	n=25	br=0.15	guessed br=0.15	Grant	1	-0.0629658267927089	2.0272156677943
RR=0.25	n=25	br=0.15	guessed br=0.15	metaumbrella (cases)	1	0	2.61739503628779
RR=0.25	n=25	br=0.15	guessed br=0.15	metaumbrella (exp)	0.614	0.446073606797472	1.28658591230194
RR=0.25	n=25	br=0.15	guessed br=0.15	OR = RR	1	-0.127728925863429	2.3296355977291
RR=0.25	n=25	br=0.15	guessed br=0.5	dipietrantonj (br)	1	0.0802989862934544	2.38177283882376
RR=0.25	n=25	br=0.15	guessed br=0.5	dipietrantonj (random)	1	0.0802989862934544	2.38177283882376
RR=0.25	n=25	br=0.15	guessed br=0.5	Grant	0.988833333333333	0.162419401668693	2.146270881864
RR=0.25	n=25	br=0.15	guessed br=0.5	metaumbrella (cases)	1	0	2.60350801626395
RR=0.25	n=25	br=0.15	guessed br=0.5	metaumbrella (exp)	0.6138	0.448522533136944	1.27528812231106
RR=0.25	n=25	br=0.15	guessed br=0.5	OR = RR	1	-0.127711365584003	2.32661007937751
RR=0.25	n=25	br=0.5	guessed br=0.01	dipietrantonj (br)	0.999928330824912	0.0924410122863109	1.95246151718856
RR=0.25	n=25	br=0.5	guessed br=0.01	dipietrantonj (random)	1	0.0886833946731068	1.94144733441848
RR=0.25	n=25	br=0.5	guessed br=0.01	Grant	1	-0.592994434899727	1.42619493460474
RR=0.25	n=25	br=0.5	guessed br=0.01	metaumbrella (cases)	0.998674193824309	0.00186439711742386	1.85160349160813
RR=0.25	n=25	br=0.5	guessed br=0.01	metaumbrella (exp)	0.847484748474848	0.27433240810254	1.38342347936142
RR=0.25	n=25	br=0.5	guessed br=0.01	OR = RR	1	-0.600880909126803	1.43060171500964
RR=0.25	n=25	br=0.5	guessed br=0.05	dipietrantonj (br)	0.999964243572782	0.08850544498259	1.91831369385171
RR=0.25	n=25	br=0.5	guessed br=0.05	dipietrantonj (random)	1	0.0844264367993495	1.90839677691441
RR=0.25	n=25	br=0.5	guessed br=0.05	Grant	1	-0.559391942143775	1.39699179329283
RR=0.25	n=25	br=0.5	guessed br=0.05	metaumbrella (cases)	0.998344230279358	0.00231468996031504	1.83517854210789
RR=0.25	n=25	br=0.5	guessed br=0.05	metaumbrella (exp)	0.852275379229872	0.264850696535683	1.38593659026662
RR=0.25	n=25	br=0.5	guessed br=0.05	OR = RR	1	-0.599335037995988	1.41517898199949
RR=0.25	n=25	br=0.5	guessed br=0.15	dipietrantonj (br)	0.999785338628314	0.090461030733798	1.90946253925253
RR=0.25	n=25	br=0.5	guessed br=0.15	dipietrantonj (random)	1	0.0862228730601749	1.89866060131174
RR=0.25	n=25	br=0.5	guessed br=0.15	Grant	1	-0.472532262927549	1.37195175487816
RR=0.25	n=25	br=0.5	guessed br=0.15	metaumbrella (cases)	0.998380359730628	0.00216382707548823	1.81708009629285
RR=0.25	n=25	br=0.5	guessed br=0.15	metaumbrella (exp)	0.846225660176047	0.272437583859199	1.36999870910376
RR=0.25	n=25	br=0.5	guessed br=0.15	OR = RR	1	-0.59823204680471	1.41327578194428
RR=0.25	n=25	br=0.5	guessed br=0.5	dipietrantonj (br)	0.99992829485157	0.0909839829696681	1.94755937655337
RR=0.25	n=25	br=0.5	guessed br=0.5	dipietrantonj (random)	1	0.0874127381524205	1.93526021254697
RR=0.25	n=25	br=0.5	guessed br=0.5	Grant	0.9996	-0.083145043217777	1.36356154935104
RR=0.25	n=25	br=0.5	guessed br=0.5	metaumbrella (cases)	0.998341695722425	0.00216223045822332	1.85575026311426
RR=0.25	n=25	br=0.5	guessed br=0.5	metaumbrella (exp)	0.849636593985464	0.268481958409419	1.3952465219832
RR=0.25	n=25	br=0.5	guessed br=0.5	OR = RR	1	-0.600896393502866	1.44065198845108
RR=0.25	n=50	br=0.01	guessed br=0.01	dipietrantonj (br)	1	-0.0236007108289093	4.74497637931184
RR=0.25	n=50	br=0.01	guessed br=0.01	dipietrantonj (random)	1	-0.0236007108289093	4.74497637931184
RR=0.25	n=50	br=0.01	guessed br=0.01	Grant	1	-0.00880115934027231	5.10602751511441
RR=0.25	n=50	br=0.01	guessed br=0.01	metaumbrella (cases)	1	0	4.16262517355228
RR=0.25	n=50	br=0.01	guessed br=0.01	metaumbrella (exp)	0.810266666666667	0.0934650887297719	1.89755651224279
RR=0.25	n=50	br=0.01	guessed br=0.01	OR = RR	1	-0.00752807045182823	5.56528958383115
RR=0.25	n=50	br=0.01	guessed br=0.05	dipietrantonj (br)	1	-0.0224900994002587	4.84192012396402
RR=0.25	n=50	br=0.01	guessed br=0.05	dipietrantonj (random)	1	-0.0224900994002587	4.84192012396402
RR=0.25	n=50	br=0.01	guessed br=0.05	Grant	1	-0.0127937103095889	4.49704912254621
RR=0.25	n=50	br=0.01	guessed br=0.05	metaumbrella (cases)	1	0	4.05675722841805
RR=0.25	n=50	br=0.01	guessed br=0.05	metaumbrella (exp)	0.809733333333333	0.094609425740227	1.92029663633672
RR=0.25	n=50	br=0.01	guessed br=0.05	OR = RR	1	-0.00757703103493413	5.64060664337585
RR=0.25	n=50	br=0.01	guessed br=0.15	dipietrantonj (br)	1	-0.0242502232317768	4.73686446324809
RR=0.25	n=50	br=0.01	guessed br=0.15	dipietrantonj (random)	1	-0.0242502232317768	4.73686446324809
RR=0.25	n=50	br=0.01	guessed br=0.15	Grant	1	-0.0184345600596096	4.06352241278819
RR=0.25	n=50	br=0.01	guessed br=0.15	metaumbrella (cases)	1	0	4.03759690787933
RR=0.25	n=50	br=0.01	guessed br=0.15	metaumbrella (exp)	0.8116	0.090755297142512	1.89323270258496
RR=0.25	n=50	br=0.01	guessed br=0.15	OR = RR	1	-0.0075210457550291	5.59156506724297
RR=0.25	n=50	br=0.01	guessed br=0.5	dipietrantonj (br)	1	-0.0220433380920288	4.8032100726865
RR=0.25	n=50	br=0.01	guessed br=0.5	dipietrantonj (random)	1	-0.0220433380920288	4.8032100726865
RR=0.25	n=50	br=0.01	guessed br=0.5	Grant	0.991133333333333	0.00975928337739297	5.00647618746668
RR=0.25	n=50	br=0.01	guessed br=0.5	metaumbrella (cases)	1	0	3.91465761878041
RR=0.25	n=50	br=0.01	guessed br=0.5	metaumbrella (exp)	0.8111	0.094719098235006	1.90154982412345
RR=0.25	n=50	br=0.01	guessed br=0.5	OR = RR	1	-0.00761555905839998	5.6060775541137
RR=0.25	n=50	br=0.05	guessed br=0.01	dipietrantonj (br)	1	-0.0248168796133756	2.025766516961
RR=0.25	n=50	br=0.05	guessed br=0.01	dipietrantonj (random)	1	-0.0248168796133756	2.025766516961
RR=0.25	n=50	br=0.05	guessed br=0.01	Grant	1	-0.036781958080526	2.72399342461497
RR=0.25	n=50	br=0.05	guessed br=0.01	metaumbrella (cases)	1	0	2.91650603823042
RR=0.25	n=50	br=0.05	guessed br=0.01	metaumbrella (exp)	0.503989850088478	0.384052204463752	0.987784465697327
RR=0.25	n=50	br=0.05	guessed br=0.01	OR = RR	1	-0.038831096919914	2.84953328291636
