"rho","n","p_exp","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.25,300,0.3,"lipsey_cooper","own",1000,1000,1000,1000,0,0.0035457646123545,0.00183785150052227,0.058117967428085,0.00130020752520302,0.0571524373871798,0.983386720430305,0.0220001984011287,0.058197017849029,0.944,0.00727076337120113,0.224030020703736,"01b_smd_to_cor_z",1000
0.5,300,0.3,"lipsey_cooper","own",1000,1000,1000,1000,0,-0.00071549161229592,0.00177969316404652,0.0562788393461867,0.00125906279358702,0.0556029080708121,0.987989601718387,0.0221031734560596,0.0562552431213572,0.942,0.00739161687318817,0.217948947209388,"01b_smd_to_cor_z",1000
0.75,300,0.3,"lipsey_cooper","own",1000,1000,1000,1000,0,0.000595766241475573,0.00169931965792684,0.05373720591747,0.00120220170472643,0.0528467874988533,0.983430131816227,0.0220011695949462,0.0537136346743659,0.943,0.00733150734842434,0.207140018550636,"01b_smd_to_cor_z",1000
0,25,0.5,"lipsey_cooper","own",1000,1000,1000,1000,0,-0.00288963596908746,0.00624331917396925,0.197431087491439,0.00441690232857896,0.198178743917595,1.00378692350661,0.0224565890618706,0.197353503312654,0.936,0.0077397674383666,0.776788067634774,"01b_smd_to_cor_z",1000
0.1,25,0.5,"lipsey_cooper","own",1000,1000,1000,1000,0,-0.00155244340523828,0.00633042985478102,0.20018576909037,0.00447852970308927,0.197869240634817,0.988428106223141,0.0221129836211797,0.200091673701539,0.937,0.00768316341099159,0.775552440020194,"01b_smd_to_cor_z",1000
0.25,25,0.5,"lipsey_cooper","own",1000,1000,1000,1000,0,0.00361018341980245,0.00627545056812839,0.198447171390834,0.00443963402396844,0.19635491946157,0.989456882077985,0.0221359992593276,0.198380775221579,0.943,0.00733150734842434,0.76952613906505,"01b_smd_to_cor_z",1000
0.5,25,0.5,"lipsey_cooper","own",1000,1000,1000,1000,0,0.00256579406885549,0.0060565916969107,0.19152624619902,0.00428479999562948,0.190958142986788,0.997033810125212,0.0223055092972882,0.191447653365896,0.94,0.00750999334220744,0.74813824390625,"01b_smd_to_cor_z",1000
0.75,25,0.5,"lipsey_cooper","own",1000,1000,1000,1000,0,0.00138446229524814,0.00610276336364481,0.19298632250148,0.0043174646306785,0.181201631264251,0.93893509610175,0.0210057325067217,0.192894773614579,0.936,0.0077397674383666,0.709662872618224,"01b_smd_to_cor_z",1000
0,50,0.5,"lipsey_cooper","own",1000,1000,1000,1000,0,0.00894890557377307,0.00445723031456384,0.140949998499705,0.00315331483251616,0.140740342209728,0.998512548476702,0.0223385914372442,0.141163444580947,0.944,0.00727076337120113,0.551680742016614,"01b_smd_to_cor_z",1000
0.1,50,0.5,"lipsey_cooper","own",1000,1000,1000,1000,0,-0.00148631229647526,0.00457041936129615,0.144529350438279,0.00323339162342668,0.140508064813447,0.972176685132558,0.0217494089654871,0.144464713785807,0.942,0.00739161687318817,0.550761823231917,"01b_smd_to_cor_z",1000
