"delta","n","r_cov","r_cov_guess","p_exp","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.3,100,0.7,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.00733610492451432,0.00846092723601974,0.267558011827754,0.00598577265864076,0.269374713201576,1.00678993449462,0.0225237720288199,0.267524804156532,0.958,0.00634318531969546,1.06923004226737,"07a_ancova_to_smd_d",1000
0.8,100,0.7,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.0178367087200065,0.00951184052104291,0.300790807867784,0.0067292524017727,0.278794681624087,0.926872345602511,0.0207358662387184,0.301169027566944,0.939,0.00756828910652864,1.10640573534406,"07a_ancova_to_smd_d",1000
0,300,0.7,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.0160821657463379,0.00489074653123206,0.154658984972611,0.0034600104752541,0.154373270150674,0.998152614140148,0.0223305390335956,0.155415952483065,0.954,0.00662449998113065,0.607607676947191,"07a_ancova_to_smd_d",1000
0.3,300,0.7,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.000804500392963878,0.00501121843424158,0.158468641048261,0.00354523960003594,0.155246205893734,0.979665155621891,0.0219169400425941,0.158391430028172,0.952,0.00675988165576884,0.611037532090011,"07a_ancova_to_smd_d",1000
0.8,300,0.7,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.00186813309473516,0.00508914744644854,0.160932972792072,0.00360037130576643,0.160449058740148,0.99699307081993,0.0223045978829073,0.160863334017487,0.952,0.00675988165576884,0.631482354084569,"07a_ancova_to_smd_d",1000
0,100,0,0.5,0.15,"ancova_md_sd","own",1000,1000,0,-0.00947102627430092,0.00782472773041661,0.247439616987965,0.00553568657471038,0.243166205715173,0.982729478307429,0.0219854946667783,0.24749714751848,0.948,0.00702111102319284,0.965228809505099,"07a_ancova_to_smd_d",1000
0.3,100,0,0.5,0.15,"ancova_md_sd","own",1000,1000,0,-0.00836390824825591,0.00790431633135565,0.2499564295355,0.00559199237408096,0.243827249928642,0.97547900800852,0.0218232880986363,0.249971385183694,0.951,0.00682634602111555,0.967839334590877,"07a_ancova_to_smd_d",1000
0.8,100,0,0.5,0.15,"ancova_md_sd","own",1000,1000,0,0.00945409475494644,0.00787823125335869,0.249131546941365,0.00557353820915114,0.248192462631104,0.99623056846156,0.0222875392804095,0.249186358096409,0.956,0.00648567652600714,0.985082362941663,"07a_ancova_to_smd_d",1000
0,300,0,0.5,0.15,"ancova_md_sd","own",1000,1000,0,0.00683494905809915,0.00456353569009287,0.144311669641618,0.00322852169726726,0.140152046191617,0.971176111673224,0.0217270242676232,0.144401345787993,0.944,0.00727076337120113,0.551633415515082,"07a_ancova_to_smd_d",1000
0.3,300,0,0.5,0.15,"ancova_md_sd","own",1000,1000,0,-0.00160368858809998,0.00458509806949095,0.144993531948324,0.00324377623113286,0.140548789004141,0.969345232959998,0.0216860640897984,0.144929889945554,0.949,0.00695693898205238,0.553192057923388,"07a_ancova_to_smd_d",1000
0.8,300,0,0.5,0.15,"ancova_md_sd","own",1000,1000,0,0.000148162053974271,0.00434984106142058,0.137554052138134,0.00307734116705781,0.142967440348094,1.03935462551495,0.0232523050143021,0.137485337743176,0.956,0.00648567652600714,0.562697686582015,"07a_ancova_to_smd_d",1000
0,100,0.3,0.5,0.15,"ancova_md_sd","own",1000,1000,0,-0.0149332310104838,0.00756290968502422,0.239160203428232,0.00535046062323585,0.243126194485932,1.0165829891464,0.0227428609597726,0.239506590074974,0.958,0.00634318531969546,0.965070119134978,"07a_ancova_to_smd_d",1000
0.3,100,0.3,0.5,0.15,"ancova_md_sd","own",1000,1000,0,0.00324122800300159,0.00736922149123894,0.233035244945776,0.0052134338574547,0.24387403351355,1.04651137028777,0.0234124147672987,0.232941249074779,0.961,0.00612200947402077,0.968024551404609,"07a_ancova_to_smd_d",1000
0.8,100,0.3,0.5,0.15,"ancova_md_sd","own",1000,1000,0,0.0058075319377933,0.00778353524899198,0.246136996350205,0.00550654451708774,0.248607830553921,1.01003845110794,0.0225964474153363,0.246082435331205,0.951,0.00682634602111555,0.986720869620615,"07a_ancova_to_smd_d",1000
0,300,0.3,0.5,0.15,"ancova_md_sd","own",1000,1000,0,-0.00152254991850015,0.00438438376985461,0.138646388490161,0.00310177877229091,0.14014225985721,1.01078911166269,0.0226132410945607,0.138585411853404,0.955,0.00655553201502365,0.551594971629629,"07a_ancova_to_smd_d",1000
0.3,300,0.3,0.5,0.15,"ancova_md_sd","own",1000,1000,0,-0.000310547281357873,0.00454864327721991,0.143840730196276,0.00321798590192125,0.140590315644948,0.977402683183738,0.0218663243067067,0.14376912723999,0.956,0.00648567652600714,0.553355422753224,"07a_ancova_to_smd_d",1000
0.8,300,0.3,0.5,0.15,"ancova_md_sd","own",1000,1000,0,-0.00861265798863648,0.00462458702178456,0.146242282264939,0.00327171310901442,0.14318465771766,0.979092062159284,0.0219041188710063,0.146422662844812,0.942,0.00739161687318817,0.563549083471172,"07a_ancova_to_smd_d",1000
0,100,0.5,0.5,0.15,"ancova_md_sd","own",1000,1000,0,-0.00454353411171876,0.00796161993089003,0.251768528462049,0.00563253241298761,0.243187690175584,0.965917748580884,0.0216093848599586,0.251683627266944,0.944,0.00727076337120113,0.965313575523473,"07a_ancova_to_smd_d",1000
0.3,100,0.5,0.5,0.15,"ancova_md_sd","own",1000,1000,0,0.00793275670433351,0.00766553961779511,0.242405646864891,0.00542306725704814,0.244112988205655,1.00704332330061,0.0225294408098687,0.242414244142717,0.951,0.00682634602111555,0.968968980832682,"07a_ancova_to_smd_d",1000
0.8,100,0.5,0.5,0.15,"ancova_md_sd","own",1000,1000,0,0.0105501120336727,0.00805123919300195,0.254602538367022,0.00569593450992959,0.249864513252294,0.981390503232541,0.0219555392924686,0.254693806273947,0.949,0.00695693898205238,0.991679104884659,"07a_ancova_to_smd_d",1000
