d	n	r_cov	p	r_cov_guess	method	bias_ci	bias_es	bias_var
d=0	n=25	r_cov=0.1	0.7	guessed r_cov=0.5	SD = sigma(model)	1	-0.0019083704605006	0.893141207900466
d=0	n=25	r_cov=0.1	0.7	guessed r_cov=0.5	Comparison (from t-test)	1	-0.00293422031177003	0.954452860028006
d=0	n=25	r_cov=0.3	0.3	guessed r_cov=0.1	SD = pooled SDs	1	0.00460110406827309	0.923499112625321
d=0	n=25	r_cov=0.3	0.3	guessed r_cov=0.1	SD = max(SDs)	1	0.0032046541359735	0.952165461977597
d=0	n=25	r_cov=0.3	0.3	guessed r_cov=0.1	SD = min(SDs)	1	0.00662724510962047	0.884463880639861
d=0	n=25	r_cov=0.3	0.3	guessed r_cov=0.1	SD = sigma(model)	1	0.00772337558123877	0.864904578910752
d=0	n=25	r_cov=0.3	0.3	guessed r_cov=0.1	Comparison (from t-test)	1	0.00478491072947257	0.92376230217644
d=0	n=25	r_cov=0.3	0.3	guessed r_cov=0.3	SD = pooled SDs	1	0.000801588763606781	0.947463973425964
d=0	n=25	r_cov=0.3	0.3	guessed r_cov=0.3	SD = max(SDs)	1	-0.000448004405828507	0.976166829851996
d=0	n=25	r_cov=0.3	0.3	guessed r_cov=0.3	SD = min(SDs)	1	0.00259729521952531	0.908397858500914
d=0	n=25	r_cov=0.3	0.3	guessed r_cov=0.3	SD = sigma(model)	1	0.00369007505766904	0.887976024164925
d=0	n=25	r_cov=0.3	0.3	guessed r_cov=0.3	Comparison (from t-test)	1	0.00087712609971697	0.949140396446374
d=0	n=25	r_cov=0.3	0.3	guessed r_cov=0.5	SD = pooled SDs	1	-0.006835384317595	0.914933304552506
d=0	n=25	r_cov=0.3	0.3	guessed r_cov=0.5	SD = max(SDs)	1	-0.00794713807576175	0.94297686225309
d=0	n=25	r_cov=0.3	0.3	guessed r_cov=0.5	SD = min(SDs)	1	-0.00522731502127675	0.876023442512868
d=0	n=25	r_cov=0.3	0.3	guessed r_cov=0.5	SD = sigma(model)	1	-0.00427624960227008	0.855725941770431
d=0	n=25	r_cov=0.3	0.3	guessed r_cov=0.5	Comparison (from t-test)	1	-0.00673283507063234	0.914621527955534
d=0	n=25	r_cov=0.3	0.5	guessed r_cov=0.1	SD = pooled SDs	1	0.00467127343756028	0.93027010051156
d=0	n=25	r_cov=0.3	0.5	guessed r_cov=0.1	SD = max(SDs)	1	0.00317221350774605	0.960355553433083
d=0	n=25	r_cov=0.3	0.5	guessed r_cov=0.1	SD = min(SDs)	1	0.00640748730894666	0.896812046115809
d=0	n=25	r_cov=0.3	0.5	guessed r_cov=0.1	SD = sigma(model)	1	0.00727890287600726	0.87631461708787
d=0	n=25	r_cov=0.3	0.5	guessed r_cov=0.1	Comparison (from t-test)	1	0.00456085401789689	0.938197907165695
d=0	n=25	r_cov=0.3	0.5	guessed r_cov=0.3	SD = pooled SDs	1	0.00079799398440631	0.937324696342828
d=0	n=25	r_cov=0.3	0.5	guessed r_cov=0.3	SD = max(SDs)	1	-0.000588936612017636	0.968385402975733
d=0	n=25	r_cov=0.3	0.5	guessed r_cov=0.3	SD = min(SDs)	1	0.00239085638575883	0.902467580504922
d=0	n=25	r_cov=0.3	0.5	guessed r_cov=0.3	SD = sigma(model)	1	0.0034150692786664	0.881766083149109
d=0	n=25	r_cov=0.3	0.5	guessed r_cov=0.3	Comparison (from t-test)	1	0.000550961846371078	0.945279559147032
d=0	n=25	r_cov=0.3	0.5	guessed r_cov=0.5	SD = pooled SDs	1	-0.00717887529307031	0.938432497544061
d=0	n=25	r_cov=0.3	0.5	guessed r_cov=0.5	SD = max(SDs)	1	-0.00854714920055146	0.969663199514628
d=0	n=25	r_cov=0.3	0.5	guessed r_cov=0.5	SD = min(SDs)	1	-0.00558230823789049	0.903438633273377
d=0	n=25	r_cov=0.3	0.5	guessed r_cov=0.5	SD = sigma(model)	1	-0.00455132553269851	0.882795061661168
d=0	n=25	r_cov=0.3	0.5	guessed r_cov=0.5	Comparison (from t-test)	1	-0.00755587252211868	0.947544852389731
d=0	n=25	r_cov=0.3	0.7	guessed r_cov=0.1	SD = pooled SDs	1	0.00526874889445509	0.919142901162555
d=0	n=25	r_cov=0.3	0.7	guessed r_cov=0.1	SD = max(SDs)	1	0.00396110111012267	0.951375758567307
d=0	n=25	r_cov=0.3	0.7	guessed r_cov=0.1	SD = min(SDs)	1	0.0065722620276192	0.888426834609987
d=0	n=25	r_cov=0.3	0.7	guessed r_cov=0.1	SD = sigma(model)	1	0.00757643484993701	0.869311705945499
d=0	n=25	r_cov=0.3	0.7	guessed r_cov=0.1	Comparison (from t-test)	1	0.00501010825628091	0.930494404038933
d=0	n=25	r_cov=0.3	0.7	guessed r_cov=0.3	SD = pooled SDs	1	0.00166507184577712	0.895113875312098
d=0	n=25	r_cov=0.3	0.7	guessed r_cov=0.3	SD = max(SDs)	1	0.000176641785555576	0.926994954700865
d=0	n=25	r_cov=0.3	0.7	guessed r_cov=0.3	SD = min(SDs)	1	0.00319091153424899	0.866143389652031
d=0	n=25	r_cov=0.3	0.7	guessed r_cov=0.3	SD = sigma(model)	1	0.00433405886041547	0.84684797866307
d=0	n=25	r_cov=0.3	0.7	guessed r_cov=0.3	Comparison (from t-test)	1	0.00110677246471378	0.907294475295856
d=0	n=25	r_cov=0.3	0.7	guessed r_cov=0.5	SD = pooled SDs	1	-0.00730795428192087	0.924240929341893
d=0	n=25	r_cov=0.3	0.7	guessed r_cov=0.5	SD = max(SDs)	1	-0.00876022394381836	0.954521339065295
d=0	n=25	r_cov=0.3	0.7	guessed r_cov=0.5	SD = min(SDs)	1	-0.00599901356176303	0.895454613823566
d=0	n=25	r_cov=0.3	0.7	guessed r_cov=0.5	SD = sigma(model)	1	-0.0051158210956421	0.876599196814545
d=0	n=25	r_cov=0.3	0.7	guessed r_cov=0.5	Comparison (from t-test)	1	-0.00783592566701781	0.935854324820348
d=0	n=25	r_cov=0.5	0.3	guessed r_cov=0.1	SD = pooled SDs	0.9999	0.023260625171396	0.894361270183275
d=0	n=25	r_cov=0.5	0.3	guessed r_cov=0.1	SD = max(SDs)	0.9999	0.0206381349388854	0.921508029430735
d=0	n=25	r_cov=0.5	0.3	guessed r_cov=0.1	SD = min(SDs)	0.9999	0.0269564665506664	0.85776092037338
d=0	n=25	r_cov=0.5	0.3	guessed r_cov=0.1	SD = sigma(model)	0.9999	0.0288500800590452	0.838200183620265
d=0	n=25	r_cov=0.5	0.3	guessed r_cov=0.1	Comparison (from t-test)	0.9999	0.0233325905826323	0.895047814522504
d=0	n=25	r_cov=0.5	0.3	guessed r_cov=0.3	SD = pooled SDs	1	0.0162232204910449	0.918339597315193
d=0	n=25	r_cov=0.5	0.3	guessed r_cov=0.3	SD = max(SDs)	1	0.0137434053266755	0.945970350952338
d=0	n=25	r_cov=0.5	0.3	guessed r_cov=0.3	SD = min(SDs)	1	0.0197484681406165	0.880468174580511
d=0	n=25	r_cov=0.5	0.3	guessed r_cov=0.3	SD = sigma(model)	1	0.0216150266636553	0.859224351645279
d=0	n=25	r_cov=0.5	0.3	guessed r_cov=0.3	Comparison (from t-test)	1	0.0162777960863255	0.919295468470911
d=0	n=25	r_cov=0.5	0.3	guessed r_cov=0.5	SD = pooled SDs	1	0.000259313775122482	0.935606558026841
d=0	n=25	r_cov=0.5	0.3	guessed r_cov=0.5	SD = max(SDs)	1	-0.00200897443032446	0.964951083095966
d=0	n=25	r_cov=0.5	0.3	guessed r_cov=0.5	SD = min(SDs)	1	0.00369972393978749	0.895214692577597
d=0	n=25	r_cov=0.5	0.3	guessed r_cov=0.5	SD = sigma(model)	1	0.00550725760597633	0.874395797367032
d=0	n=25	r_cov=0.5	0.3	guessed r_cov=0.5	Comparison (from t-test)	1	0.000455185243572769	0.936736496682682
d=0	n=25	r_cov=0.5	0.5	guessed r_cov=0.1	SD = pooled SDs	1	0.0237980284582252	0.921014777922004
d=0	n=25	r_cov=0.5	0.5	guessed r_cov=0.1	SD = max(SDs)	1	0.0209660387914316	0.951641409123273
d=0	n=25	r_cov=0.5	0.5	guessed r_cov=0.1	SD = min(SDs)	1	0.0270829419327109	0.886362880890681
d=0	n=25	r_cov=0.5	0.5	guessed r_cov=0.1	SD = sigma(model)	1	0.0291162422385391	0.865148484373717
d=0	n=25	r_cov=0.5	0.5	guessed r_cov=0.1	Comparison (from t-test)	1	0.023147145828265	0.929667447274213
d=0	n=25	r_cov=0.5	0.5	guessed r_cov=0.3	SD = pooled SDs	1	0.0170503663410279	0.931470415687068
d=0	n=25	r_cov=0.5	0.5	guessed r_cov=0.3	SD = max(SDs)	1	0.014432013713551	0.961592285043412
d=0	n=25	r_cov=0.5	0.5	guessed r_cov=0.3	SD = min(SDs)	1	0.0200805595844496	0.897480943017148
d=0	n=25	r_cov=0.5	0.5	guessed r_cov=0.3	SD = sigma(model)	1	0.0217208833665358	0.877568113711283
d=0	n=25	r_cov=0.5	0.5	guessed r_cov=0.3	Comparison (from t-test)	1	0.0165813701786304	0.939337148082634
d=0	n=25	r_cov=0.5	0.5	guessed r_cov=0.5	SD = pooled SDs	1	0.00102508613667154	0.910693284736701
d=0	n=25	r_cov=0.5	0.5	guessed r_cov=0.5	SD = max(SDs)	1	-0.00149499288395989	0.940643508574363
d=0	n=25	r_cov=0.5	0.5	guessed r_cov=0.5	SD = min(SDs)	1	0.00392910840211546	0.876930587109384
d=0	n=25	r_cov=0.5	0.5	guessed r_cov=0.5	SD = sigma(model)	1	0.00555277517923585	0.856908706752329
d=0	n=25	r_cov=0.5	0.5	guessed r_cov=0.5	Comparison (from t-test)	1	0.000504505129022301	0.918984340039584
d=0	n=25	r_cov=0.5	0.7	guessed r_cov=0.1	SD = pooled SDs	1	0.0245759150095313	0.910513198709988
d=0	n=25	r_cov=0.5	0.7	guessed r_cov=0.1	SD = max(SDs)	1	0.0220200278909167	0.939853024454167
d=0	n=25	r_cov=0.5	0.7	guessed r_cov=0.1	SD = min(SDs)	1	0.0272977329660716	0.882324439350396
d=0	n=25	r_cov=0.5	0.7	guessed r_cov=0.1	SD = sigma(model)	1	0.0290387456351786	0.863820527462711
d=0	n=25	r_cov=0.5	0.7	guessed r_cov=0.1	Comparison (from t-test)	1	0.0240771395776588	0.918728282802853
d=0	n=25	r_cov=0.5	0.7	guessed r_cov=0.3	SD = pooled SDs	1	0.016854878900926	0.930497064613785
d=0	n=25	r_cov=0.5	0.7	guessed r_cov=0.3	SD = max(SDs)	1	0.0142422429517358	0.960626192552322
d=0	n=25	r_cov=0.5	0.7	guessed r_cov=0.3	SD = min(SDs)	1	0.0196337457203034	0.90120258259429
d=0	n=25	r_cov=0.5	0.7	guessed r_cov=0.3	SD = sigma(model)	1	0.0213734374013895	0.882430120326538
d=0	n=25	r_cov=0.5	0.7	guessed r_cov=0.3	Comparison (from t-test)	1	0.0162418568327744	0.939369843150201
d=0	n=25	r_cov=0.5	0.7	guessed r_cov=0.5	SD = pooled SDs	1	0.00136698328177134	0.904910202681439
d=0	n=25	r_cov=0.5	0.7	guessed r_cov=0.5	SD = max(SDs)	1	-0.0011502045711601	0.933786368322357
d=0	n=25	r_cov=0.5	0.7	guessed r_cov=0.5	SD = min(SDs)	1	0.00379082040058969	0.877686129873858
d=0	n=25	r_cov=0.5	0.7	guessed r_cov=0.5	SD = sigma(model)	1	0.00541935885843455	0.859409738429751
d=0	n=25	r_cov=0.5	0.7	guessed r_cov=0.5	Comparison (from t-test)	1	0.000522508219561507	0.914156206335714
d=0	n=50	r_cov=0.1	0.3	guessed r_cov=0.1	SD = pooled SDs	1	7.94901854976265e-05	0.926290741169334
d=0	n=50	r_cov=0.1	0.3	guessed r_cov=0.1	SD = max(SDs)	1	-0.000114009837697032	0.942694799482825
d=0	n=50	r_cov=0.1	0.3	guessed r_cov=0.1	SD = min(SDs)	1	0.000435068090692072	0.900162274471608
d=0	n=50	r_cov=0.1	0.3	guessed r_cov=0.1	SD = sigma(model)	1	0.000619264193485275	0.887396046218579
