"response","n","k","shape","method","n_valid","emp_sd","robust_sd","sd_over_robust","ex_kurtosis","sd_mcse_rel","se_ratio_readable"
"cont_kurt8",1000,8,"congeneric","alpha",1000,0.0887000936808379,0.0946868344944267,0.936773249992413,-0.29153982697085,0.0206667617990165,TRUE
"cont_normal",1000,8,"congeneric","alpha",1000,0.0458661234198735,0.0457551239834314,1.00242594548497,-0.250995581117063,0.0209105500817347,TRUE
"lik5_sev",1000,8,"congeneric","alpha",1000,0.0585917367668085,0.0583655644191619,1.00387509912561,0.00864706758473544,0.022408966216588,TRUE
"lik5_skew",1000,8,"congeneric","alpha",1000,0.0491305713064187,0.0483033005143843,1.01712658934741,-0.0668505302104627,0.0219837978394859,TRUE
"lik5_sym",1000,8,"congeneric","alpha",1000,0.0459486938793726,0.0463139303923858,0.992113895108472,0.054329225090799,0.0226623543850302,TRUE
"lik7_skew",1000,8,"congeneric","alpha",1000,0.0491933893578265,0.0484942320394718,1.01441732942148,0.025981381473033,0.0225054514588857,TRUE
"bin_10",200,20,"congeneric","alpha",1000,0.171775296461005,0.16675989712102,1.03007557228429,-0.15281547390411,0.0214894423269654,TRUE
"cont_kurt8",200,20,"congeneric","alpha",1000,0.210577650277568,0.208887403879455,1.00809166262169,-0.0297704205680498,0.0221936341066079,TRUE
"cont_normal",200,20,"congeneric","alpha",1000,0.0993636021319621,0.0986413696959282,1.00732180056157,0.085009197472306,0.0228309504700982,TRUE
"lik5_sev",200,20,"congeneric","alpha",1000,0.131798916994626,0.12978586704717,1.01551054820726,-0.0155840637701736,0.0222733918399838,TRUE
"lik5_skew",200,20,"congeneric","alpha",1000,0.102733005839374,0.103792191593267,0.989795130658342,0.0401819093791609,0.0225841864441646,TRUE
"lik5_sym",200,20,"congeneric","alpha",1000,0.0941867987205158,0.0954517286178931,0.986747962392165,-0.13379475911521,0.0215997988467763,TRUE
"lik7_skew",200,20,"congeneric","alpha",1000,0.108118005731268,0.111048274198463,0.973612660904949,0.0860525627048299,0.0228366622052394,TRUE
"bin_10",1000,20,"congeneric","alpha",1000,0.0745915174427574,0.0714259705740628,1.04431926991335,0.126318905158413,0.023056012801211,TRUE
"cont_kurt8",1000,20,"congeneric","alpha",1000,0.0941566566176194,0.0952161445254394,0.988872812346052,-0.272774246202431,0.0207799528019048,TRUE
"cont_normal",1000,20,"congeneric","alpha",1000,0.0450887144090273,0.0450157170487102,1.001621597191,0.0932995883694798,0.0228762955281744,TRUE
"lik5_sev",1000,20,"congeneric","alpha",1000,0.0574022032577295,0.0593889298600841,0.96654718973662,-0.258977449109797,0.0208627811598203,TRUE
"lik5_skew",1000,20,"congeneric","alpha",1000,0.0472608539885007,0.0468365896898842,1.00905839433284,0.192022113645111,0.0234095179021542,TRUE
"lik5_sym",1000,20,"congeneric","alpha",1000,0.0443279403587542,0.0434227978019025,1.02084486957706,-0.0182866058125866,0.0222582197973435,TRUE
"lik7_skew",1000,20,"congeneric","alpha",1000,0.0460235441873646,0.0471844703141339,0.975396012309974,-0.0925782384250837,0.0218370199522217,TRUE
"bin_10",200,3,"congeneric","omega",1000,0.177600169464872,0.167775747967305,1.05855686305437,0.446780683169588,0.0247324719911374,TRUE
"cont_kurt8",200,3,"congeneric","omega",1000,0.188105214802686,0.182190567895452,1.03246406757252,-0.0867729115443119,0.0218702256987422,TRUE
"cont_normal",200,3,"congeneric","omega",1000,0.114051867579837,0.117354398543996,0.971858481615233,-0.0171940829919901,0.0222643544539697,TRUE
"lik5_sev",200,3,"congeneric","omega",1000,0.146036129352765,0.149334586501817,0.97791230265996,-0.173087958301607,0.0213711958117602,TRUE
"lik5_skew",200,3,"congeneric","omega",999,0.1209060582721,0.117022120147086,1.03318977745517,0.0745331759667054,0.0227849170820987,TRUE
"lik5_sym",200,3,"congeneric","omega",1000,0.112856326010437,0.116121685672655,0.97187984618633,-0.267073278371421,0.0208142182271433,TRUE
"lik7_skew",200,3,"congeneric","omega",1000,0.119175342679388,0.115527553236608,1.03157506015304,-0.0410716949812548,0.0221298910131678,TRUE
