"rho","n","p_exp","p_case","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0,25,0.3,0.1,"phi (r)","own",1000,931,458,458,0.069,-0.000711276831631467,0.00653890507135317,0.199516984852039,0.00462618931203413,0.193330775182985,0.968994069985363,0.0224680120006582,0.199411072610444,0.993449781659389,0.00376936426256339,0.752339071451443,"03a_2x2_to_cor_CAT",1000
0.1,25,0.3,0.1,"phi (r)","own",1000,926,490,490,0.074,0.00770526672922002,0.00721777677986797,0.219638738209691,0.00510649693870969,0.192950063903501,0.878488309832168,0.0204244383364077,0.219655298493047,0.993877551020408,0.00352396014423132,0.752820078361821,"03a_2x2_to_cor_CAT",1000
0.25,25,0.3,0.1,"phi (r)","own",1000,929,480,480,0.071,0.0087370333808038,0.00699734201483383,0.213275495095445,0.00495053314832835,0.191803842673446,0.89932433441362,0.0208750420512237,0.213339658210169,1,0,0.752920044196176,"03a_2x2_to_cor_CAT",1000
0.5,25,0.3,0.1,"phi (r)","own",1000,926,39,39,0.074,0.00783101801423259,0.00490403372073809,0.149230962858953,0.00346954941196398,0.189356799330956,1.26888412232473,0.0295009566119546,0.149355801936903,0.974358974358974,0.0253101598355295,0.754125687905022,"03a_2x2_to_cor_CAT",1000
0,50,0.3,0.1,"phi (r)","own",1000,998,765,765,0.002,-0.00409394117847658,0.00449793176550266,0.142094783108964,0.00318211269709967,0.140300385490684,0.987371826192212,0.0221114973832316,0.142082568779528,0.986928104575163,0.00410658979028482,0.547439180227878,"03a_2x2_to_cor_CAT",1000
0.1,50,0.3,0.1,"phi (r)","own",1000,995,837,837,0.005,-0.0114283979286307,0.00488071993127702,0.153955577723988,0.00345292573522241,0.140756537228987,0.914267214672379,0.0205052447016377,0.154301998575827,0.984468339307049,0.00427412377698816,0.549787938502095,"03a_2x2_to_cor_CAT",1000
0.25,50,0.3,0.1,"phi (r)","own",1000,994,815,815,0.00600000000000001,-0.00345403977894488,0.00492536300820756,0.155285690126437,0.00348451079599904,0.142555061478373,0.918018018030521,0.0205997326099039,0.155245987864665,0.971779141104295,0.00580082943285463,0.558949878303621,"03a_2x2_to_cor_CAT",1000
0.5,50,0.3,0.1,"phi (r)","own",1000,991,48,48,0.00900000000000001,-0.00575874250522448,0.00361345989929237,0.113752268600674,0.00255639212818187,0.145053892098429,1.27517361968085,0.0286573959668527,0.113840610656293,0.958333333333333,0.0288424439684655,0.57685441315019,"03a_2x2_to_cor_CAT",1000
0,100,0.3,0.1,"phi (r)","own",1000,1000,941,941,0,0.00376057167558734,0.00324697995655664,0.102678521796336,0.00229711038813453,0.100229207495064,0.976145797013617,0.0218382054145803,0.102696045974368,0.972369819341126,0.00534333970953263,0.391831807621698,"03a_2x2_to_cor_CAT",1000
0.1,100,0.3,0.1,"phi (r)","own",1000,1000,983,983,0,-0.00724998677166439,0.00329656933487296,0.104246675628649,0.00233219291947,0.100610466472594,0.965119183569862,0.0215915194685376,0.104446466280264,0.966429298067141,0.00574497966555794,0.393414609015367,"03a_2x2_to_cor_CAT",1000
0.25,100,0.3,0.1,"phi (r)","own",1000,1000,981,981,0,-0.00884408963736449,0.00343354460621716,0.108578214034322,0.00242909752711531,0.103459218997536,0.95285430799988,0.0213171312850296,0.10888368682146,0.938837920489297,0.00765071332716796,0.405189952002965,"03a_2x2_to_cor_CAT",1000
0.5,100,0.3,0.1,"phi (r)","own",1000,1000,110,110,0,-0.00308129747093692,0.00251843170861136,0.0796398033080138,0.00178169120754091,0.115803281470004,1.45408798942063,0.0325306652971214,0.0796595892957815,0.954545454545455,0.0198605203978478,0.459502552162946,"03a_2x2_to_cor_CAT",1000
0,300,0.3,0.1,"phi (r)","own",1000,1000,999,999,0,0.00190781318372563,0.00181865562126728,0.0575109404267317,0.00128662719694847,0.0577815636781779,1.00470559600379,0.0224771414821786,0.0575138288730833,0.960960960960961,0.00612801313762972,0.226288352913264,"03a_2x2_to_cor_CAT",1000
0.1,300,0.3,0.1,"phi (r)","own",1000,1000,999,999,0,-0.000676968527106605,0.00198982807608637,0.0629238887258375,0.00140772496453198,0.0580673046263891,0.922818118876779,0.0206451656115122,0.0628960622216994,0.933933933933934,0.0078589505714634,0.227431406512019,"03a_2x2_to_cor_CAT",1000
0.25,300,0.3,0.1,"phi (r)","own",1000,1000,999,999,0,0.00314451541068763,0.00197866962236183,0.0625710274364862,0.00139983079816535,0.0598180162365263,0.956001822045285,0.0213875470553778,0.0626187377559713,0.941941941941942,0.00739878787468595,0.234389509767254,"03a_2x2_to_cor_CAT",1000
0.5,300,0.3,0.1,"phi (r)","own",1000,1000,308,308,0,-0.00104499696518496,0.00140366259176837,0.0443877085636315,0.000993035979318557,0.0866638286653797,1.95242853190188,0.0436794743852859,0.04437781451937,0.996753246753247,0.00324147825830312,0.341940338119412,"03a_2x2_to_cor_CAT",1000
0,25,0.5,0.1,"phi (r)","own",1000,913,509,509,0.087,0.000286246522140762,0.00681607552702363,0.205953787398417,0.00482233487797176,0.19284426003375,0.936347238231133,0.0219242384510246,0.20584116593926,0.992141453831041,0.00391380344534318,0.749683065677574,"03a_2x2_to_cor_CAT",1000
0.1,25,0.5,0.1,"phi (r)","own",1000,943,509,509,0.0570000000000001,-0.00115475568772066,0.00638362471525691,0.19603029518021,0.00451629960443353,0.192953704003104,0.984305532089936,0.0226772024249255,0.195929730833871,1,0,0.750341929849339,"03a_2x2_to_cor_CAT",1000
0.25,25,0.5,0.1,"phi (r)","own",1000,918,241,241,0.082,0.0113073616054464,0.0049321758191786,0.149437602127993,0.00348947607171212,0.192621687389413,1.2889773701296,0.0300985536839198,0.149783600564045,0.991701244813278,0.00584370635282622,0.750672136510386,"03a_2x2_to_cor_CAT",1000
0,50,0.5,0.1,"phi (r)","own",1000,996,838,838,0.004,-0.00771741299459723,0.00447343889197144,0.141179350112266,0.00316478812377748,0.140333243493785,0.994006867025465,0.0222824451678937,0.14131933946184,0.992840095465394,0.00291253572026024,0.54749181559286,"03a_2x2_to_cor_CAT",1000
0.1,50,0.5,0.1,"phi (r)","own",1000,993,781,781,0.00700000000000001,-0.000636877959228514,0.00437340369937979,0.137814271025626,0.00309402172139466,0.140951615761292,1.02276502072186,0.0229617525561462,0.137746332989092,0.985915492957746,0.00421662669935075,0.550119748359642,"03a_2x2_to_cor_CAT",1000
0.25,50,0.5,0.1,"phi (r)","own",1000,998,457,457,0.002,-0.0080192196539322,0.00348609731892696,0.1101297814762,0.00246627897447504,0.142962083285476,1.29812373518938,0.0290705677560655,0.110366316316785,0.971553610503282,0.00777658388622076,0.559003078999388,"03a_2x2_to_cor_CAT",1000
