"rho","n","p_exp","p_case","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0,300,0.3,0.1,"phi (r)","own",300,300,298,298,0,0.00423929781950856,0.00349913788780016,0.0606068460435912,0.00247839824047318,0.0578178778169128,0.953982620632124,0.0390112504240214,0.0606540803853807,0.936241610738255,0.0141531955104145,0.226425282844714,"03b_2x2_to_cor_CONT",300
0.1,300,0.3,0.1,"phi (r)","own",300,300,300,300,0,0.000151265599369407,0.00343472421908215,0.0594911685743762,0.00243277479597568,0.0577801053896623,0.971238366538812,0.0397168903489637,0.0593921264913562,0.936666666666667,0.0140620318852128,0.226292938582127,"03b_2x2_to_cor_CONT",300
0.25,300,0.3,0.1,"phi (r)","own",300,300,299,299,0,0.00101706763620692,0.00344420658671834,0.0596554079995955,0.00243949104552589,0.0581793885267223,0.975257574755281,0.0398812479953693,0.0595645831947377,0.953177257525084,0.0122174245409932,0.227881904113349,"03b_2x2_to_cor_CONT",300
0.5,300,0.3,0.1,"phi (r)","own",300,300,300,300,0,-0.00361980089564797,0.0034380493920273,0.0595487622592258,0.00243512997689189,0.0598026032681504,1.00426274198311,0.0410673574881876,0.059559532079323,0.946666666666667,0.0129729062394013,0.234314166870343,"03b_2x2_to_cor_CONT",300
0,25,0.5,0.1,"phi (r)","own",300,284,170,170,0.0533333333333333,0.0144194536270403,0.0120430183467833,0.202952552622214,0.00853073207765273,0.192938888848856,0.950660074761429,0.0399592234240439,0.203107422237283,1,0,0.750045534649628,"03b_2x2_to_cor_CONT",300
0.1,25,0.5,0.1,"phi (r)","own",300,276,143,143,0.08,0.0137815516964712,0.0121960044135063,0.202615242586971,0.00863954297282158,0.19297109014861,0.952401644046003,0.0406105425537738,0.202716859614797,1,0,0.749885908898794,"03b_2x2_to_cor_CONT",300
0.25,25,0.5,0.1,"phi (r)","own",300,279,146,146,0.07,0.014631142302129,0.0108220239698818,0.180763438179601,0.00766607735774136,0.193002473271842,1.06770747013608,0.0452808828153017,0.181031419109421,1,0,0.750238519833795,"03b_2x2_to_cor_CONT",300
0,50,0.5,0.1,"phi (r)","own",300,298,241,241,0.00666666666666671,-0.0141449744616206,0.0085369079117922,0.147369879605492,0.00604665940202826,0.14033206783287,0.952243892771967,0.0390710401790884,0.147800821786493,0.987551867219917,0.00714206078399008,0.54748269970457,"03b_2x2_to_cor_CONT",300
0.1,50,0.5,0.1,"phi (r)","own",300,297,237,237,0.01,-0.0107293229161435,0.00846123193583158,0.145818230766818,0.00599309236718095,0.140478043292636,0.963377778991697,0.0395945828146798,0.145967401663289,0.9957805907173,0.00421049816550378,0.548095593286145,"03b_2x2_to_cor_CONT",300
0.25,50,0.5,0.1,"phi (r)","own",300,300,227,227,0,-0.0125756744015715,0.00792075333549139,0.137191472112917,0.00561017649471522,0.140805337065956,1.02634176087902,0.0419702357132586,0.137538755533711,1,0,0.549524843873472,"03b_2x2_to_cor_CONT",300
0,100,0.5,0.1,"phi (r)","own",300,300,292,292,0,-0.00264028640954839,0.00588082214023742,0.101858827371672,0.00416531720447952,0.100288137306376,0.984579735445367,0.0402624594947287,0.10172319183358,0.986301369863014,0.00680224018029345,0.392025980904851,"03b_2x2_to_cor_CONT",300
0.1,100,0.5,0.1,"phi (r)","own",300,300,292,292,0,0.0019753174265105,0.00610737015486649,0.105782754088586,0.00432577850061677,0.100632407940242,0.951312043322005,0.0389020423965704,0.105624774420082,0.972602739726027,0.00955278242537844,0.393368383668586,"03b_2x2_to_cor_CONT",300
0.25,100,0.5,0.1,"phi (r)","own",300,300,294,294,0,-0.00463027793818927,0.00527171532629824,0.0913087878818809,0.00373389400701412,0.10155646041129,1.11223095571771,0.0454825060797248,0.0912740008751763,0.972789115646258,0.00948870652146214,0.397005792206772,"03b_2x2_to_cor_CONT",300
0,300,0.5,0.1,"phi (r)","own",300,300,297,297,0,-0.000890748446489117,0.00350873875366174,0.0607731379182803,0.00248519842092372,0.0577323817187963,0.949965456719172,0.0388469763754033,0.0606783031864586,0.939393939393939,0.0138453417543907,0.22610059383676,"03b_2x2_to_cor_CONT",300
0.1,300,0.5,0.1,"phi (r)","own",300,300,300,300,0,0.000281232025269753,0.00334350226868519,0.0579111580458455,0.00236816336064339,0.057842819469617,0.998819941121288,0.0408447848093605,0.0578152428883788,0.95,0.0125830573921179,0.226530659341322,"03b_2x2_to_cor_CONT",300
0.25,300,0.5,0.1,"phi (r)","own",300,300,300,300,0,0.00308063672577427,0.00317728309882132,0.0550321575718842,0.00225043227620691,0.0585378574778916,1.06370275236671,0.0434980402701701,0.0550266622807782,0.976666666666667,0.0087156734084615,0.229246573496071,"03b_2x2_to_cor_CONT",300
0,25,0.3,0.3,"phi (r)","own",300,300,273,273,0,0.00403962791762913,0.0109141885756379,0.189039291363927,0.00773039149339128,0.191213094246506,1.01149921197279,0.0413632787522105,0.188767191960954,0.985347985347985,0.00727213889427488,0.744390632850488,"03b_2x2_to_cor_CONT",300
0.1,25,0.3,0.3,"phi (r)","own",300,300,276,276,0,0.00803961512699649,0.0120030855429901,0.207899540080544,0.00850164441753339,0.189771246003866,0.912802625394674,0.0373272751901711,0.20770840164649,0.960144927536232,0.0117748574043915,0.740348873111418,"03b_2x2_to_cor_CONT",300
0.25,25,0.3,0.3,"phi (r)","own",300,300,285,285,0,0.00103201251391862,0.0115652815105312,0.200316551800769,0.00819155296686453,0.188556062406368,0.941290476055627,0.0384922300354073,0.199985075040017,0.982456140350877,0.0077767247509283,0.737642320103108,"03b_2x2_to_cor_CONT",300
0.5,25,0.3,0.3,"phi (r)","own",300,300,278,278,0,0.00250915333954852,0.0123842166758005,0.214500924944282,0.00877159511945917,0.182047714019562,0.848703631776179,0.0347060724157202,0.214157824582154,0.960431654676259,0.0116918915782073,0.721284919935782,"03b_2x2_to_cor_CONT",300
0.75,25,0.3,0.3,"phi (r)","own",300,300,259,259,0,-0.00854123559571763,0.0113784823493512,0.197081095421019,0.00805924531645596,0.168351800145055,0.854226021960196,0.0349318997439634,0.196937657692164,0.942084942084942,0.0145141262545635,0.687244612081923,"03b_2x2_to_cor_CONT",300
0,50,0.3,0.3,"phi (r)","own",300,300,298,298,0,0.00389888986862305,0.00845384937518396,0.14642496637353,0.0059877621541383,0.138283929706165,0.944401307584407,0.0386194413966748,0.146232706842344,0.959731543624161,0.0113880468060535,0.539820154236489,"03b_2x2_to_cor_CONT",300
0.1,50,0.3,0.3,"phi (r)","own",300,300,297,297,0,0.000338959898256227,0.00740271100128083,0.128218715679675,0.00524325319795848,0.138076649907831,1.07688373866405,0.04403705088332,0.128005288227438,0.986531986531986,0.00668850616742231,0.538964328716099,"03b_2x2_to_cor_CONT",300
0.25,50,0.3,0.3,"phi (r)","own",300,300,299,299,0,0.00725215114484835,0.00805135590435731,0.139453574961665,0.00570268075926767,0.13665561225299,0.979936242513363,0.0400725729478516,0.13940971606713,0.959866220735786,0.0113507560230557,0.534340238519234,"03b_2x2_to_cor_CONT",300
0.5,50,0.3,0.3,"phi (r)","own",300,300,300,300,0,0.00264393601970484,0.00835059971949217,0.144636629878309,0.00591463163650761,0.132250149178871,0.914361384734568,0.037391017599775,0.144419571334899,0.936666666666667,0.0140620318852128,0.520571615015899,"03b_2x2_to_cor_CONT",300
0.75,50,0.3,0.3,"phi (r)","own",300,300,293,293,0,0.0101875737619228,0.00851566843736652,0.147495703939295,0.00603154786932121,0.120240788653617,0.815215531315438,0.0333366421503835,0.147601669132729,0.914675767918089,0.0163205943625398,0.482958728873369,"03b_2x2_to_cor_CONT",300
0,100,0.3,0.3,"phi (r)","own",300,300,298,298,0,0.0057494427117304,0.00587925446660555,0.101831674467871,0.00416420683967098,0.098835440771748,0.970576603873207,0.0396898288611432,0.101824262252877,0.932885906040268,0.0144948257779992,0.386483070828067,"03b_2x2_to_cor_CONT",300
0.1,100,0.3,0.3,"phi (r)","own",300,300,298,298,0,0.00168478100671126,0.00596525043009813,0.103321168248021,0.00422511676990005,0.0986383463160112,0.954677032679611,0.039039647044354,0.103162580825038,0.942953020134228,0.0134354811677118,0.385760484478761,"03b_2x2_to_cor_CONT",300
0.25,100,0.3,0.3,"phi (r)","own",300,300,300,300,0,-0.00827241155447864,0.00620506059441431,0.107474802135691,0.0043949714907903,0.0979471408448253,0.911349813151209,0.0372678652795258,0.107613954067548,0.933333333333333,0.0144016459964619,0.383278895540739,"03b_2x2_to_cor_CONT",300
0.5,100,0.3,0.3,"phi (r)","own",300,300,300,300,0,0.00418955731430352,0.00613710859877251,0.106297839046418,0.00434684189091873,0.0946189882943685,0.890130873244282,0.0364001582998191,0.106203196159414,0.93,0.0147309198626562,0.371414513996709,"03b_2x2_to_cor_CONT",300
0.75,100,0.3,0.3,"phi (r)","own",300,300,299,299,0,-0.000561933064563902,0.00562472828106869,0.0974231516158054,0.00398392893390789,0.0864213515679613,0.887072016606172,0.036275072349887,0.09726226745912,0.94314381270903,0.0133919010689227,0.342240764685232,"03b_2x2_to_cor_CONT",300
0,300,0.3,0.3,"phi (r)","own",300,300,300,300,0,0.00244369483055935,0.0031846143353051,0.0551591383126062,0.00225562490484416,0.0575055206301869,1.04253841501807,0.0426325661551184,0.0551213245064874,0.956666666666667,0.0117552194868996,0.225214860934968,"03b_2x2_to_cor_CONT",300
0.1,300,0.3,0.3,"phi (r)","own",300,300,299,299,0,0.00109816348515622,0.00331105382926868,0.0573491345888885,0.00234518051237201,0.0574341181545664,1.00148186308803,0.0409536388935,0.0572640037342331,0.946488294314381,0.0130150675531153,0.224944699820808,"03b_2x2_to_cor_CONT",300
0.25,300,0.3,0.3,"phi (r)","own",300,300,299,299,0,0.000755521866890595,0.0033502724686328,0.0580284213487122,0.00237295861369596,0.057064432251694,0.983387638770572,0.0402137110365238,0.0579365529860118,0.963210702341137,0.0108864380108455,0.223544827995132,"03b_2x2_to_cor_CONT",300
0.5,300,0.3,0.3,"phi (r)","own",300,300,300,300,0,-0.00197326648685413,0.00360024674300011,0.0623581027866056,0.00255001245427638,0.0552960110637174,0.886749413351216,0.0362618801217535,0.0622853513048014,0.933333333333333,0.0144016459964619,0.216820843852895,"03b_2x2_to_cor_CONT",300
0.75,300,0.3,0.3,"phi (r)","own",300,300,300,300,0,0.000787796980699784,0.00312280749566828,0.0540886124475439,0.00221184784674674,0.050324305793626,0.930404821207632,0.0380470825053367,0.0540041358965071,0.943333333333333,0.0133486023682326,0.197915888015636,"03b_2x2_to_cor_CONT",300
0,25,0.5,0.3,"phi (r)","own",300,299,288,288,0.0033333333333333,0.00464304359399566,0.0117115060056108,0.202510870085824,0.00829516845131959,0.19012326392708,0.938829919828528,0.0384559719130931,0.202225248136364,0.972222222222222,0.00968356512192217,0.741022628575378,"03b_2x2_to_cor_CONT",300
0.1,25,0.5,0.3,"phi (r)","own",300,300,279,279,0,-0.0212532376325476,0.0113067990971834,0.195839505072955,0.00800847291144059,0.190365766479345,0.972049875271229,0.0397500754088347,0.196664608283396,0.967741935483871,0.0105778360610315,0.741620417887813,"03b_2x2_to_cor_CONT",300
0.25,25,0.5,0.3,"phi (r)","own",300,300,269,269,0,0.00222100814882211,0.0115731217088842,0.200452348019657,0.00819710608721189,0.189146213683811,0.943596897479406,0.0385865466212658,0.200130306444832,0.973977695167286,0.0097066919169156,0.738880229192549,"03b_2x2_to_cor_CONT",300
0.5,25,0.5,0.3,"phi (r)","own",300,300,260,260,0,0.000470145767796121,0.0104414735556454,0.180851627042648,0.00739557300056214,0.184388409175607,1.01955626383237,0.0416927561042875,0.180550568182442,0.969230769230769,0.0107098957128982,0.726829408306289,"03b_2x2_to_cor_CONT",300
0,50,0.5,0.3,"phi (r)","own",300,300,297,297,0,-0.00780060859860103,0.00800836598461198,0.138708967709543,0.00567223150437366,0.137925389971264,0.994350922285575,0.0406620330388574,0.138697127914792,0.95959595959596,0.0114255832500108,0.538371199996628,"03b_2x2_to_cor_CONT",300
0.1,50,0.5,0.3,"phi (r)","own",300,300,295,295,0,0.00845605174617434,0.00846509458226489,0.146619739073588,0.00599572700214852,0.137533560470903,0.938028953945107,0.0383588564780015,0.146619217263135,0.952542372881356,0.0123789598351276,0.53712207062821,"03b_2x2_to_cor_CONT",300
0.25,50,0.5,0.3,"phi (r)","own",300,300,297,297,0,0.00893154208611009,0.00814578609595483,0.141089153857819,0.00576956455413578,0.136856987888326,0.970003605140635,0.0396663972004761,0.141136699512318,0.95959595959596,0.0114255832500108,0.53520118948057,"03b_2x2_to_cor_CONT",300
0.5,50,0.5,0.3,"phi (r)","own",300,300,296,296,0,-0.00949034364429875,0.00766175438794664,0.132705478750374,0.00542673058419042,0.134557999178665,1.01395963788184,0.0414638930498002,0.132823598176497,0.969594594594595,0.00997986431005396,0.529049130042254,"03b_2x2_to_cor_CONT",300
0,100,0.5,0.3,"phi (r)","own",300,300,298,298,0,0.00136308315691559,0.00590334893508845,0.102249002903808,0.00418127266851452,0.0986591113588929,0.964890693865323,0.0394573147100374,0.102087546066434,0.946308724832215,0.0130575034535089,0.38579475025492,"03b_2x2_to_cor_CONT",300
0.1,100,0.5,0.3,"phi (r)","own",300,300,298,298,0,0.0119758080312211,0.00574103639634054,0.0994376672656395,0.00406630860498273,0.0984701833839745,0.990270448731663,0.0404951700664955,0.0999915503946637,0.959731543624161,0.0113880468060535,0.385116628599065,"03b_2x2_to_cor_CONT",300
0.25,100,0.5,0.3,"phi (r)","own",300,300,300,300,0,0.00682583636798629,0.00539349886123005,0.0934181405821533,0.00382015185348137,0.0978732237721172,1.04768970097458,0.0428432179029688,0.093511770392734,0.973333333333333,0.00930153312731393,0.383034931769896,"03b_2x2_to_cor_CONT",300
0.5,100,0.5,0.3,"phi (r)","own",300,300,300,300,0,-0.00649829268950828,0.00516560831344816,0.0894709605089239,0.0036587396568908,0.0960852290940264,1.07392642872592,0.043916117486754,0.0895577862221928,0.97,0.00984885780179611,0.37707837171706,"03b_2x2_to_cor_CONT",300
0,300,0.5,0.3,"phi (r)","own",300,300,299,299,0,-0.000171003275981201,0.00333582006441404,0.0577780983647281,0.00236272214564728,0.0574750893233244,0.994755641843888,0.0406785832523512,0.0576819746304029,0.94314381270903,0.0133919010689227,0.225096480600979,"03b_2x2_to_cor_CONT",300
0.1,300,0.5,0.3,"phi (r)","own",300,300,299,299,0,0.00248313423457055,0.00328389477226659,0.0568787259227556,0.00232594407149851,0.0573888859219712,1.00896925855738,0.0412598212634522,0.0568381162016083,0.946488294314381,0.0130150675531153,0.224768242674171,"03b_2x2_to_cor_CONT",300
0.25,300,0.5,0.3,"phi (r)","own",300,300,300,300,0,-0.00206775752135266,0.00299800975780338,0.0519270522210271,0.00212345507576798,0.0570181311702577,1.09804290310107,0.0449023134622847,0.0518816567875825,0.98,0.00808290376865476,0.223362492739322,"03b_2x2_to_cor_CONT",300
0.5,300,0.5,0.3,"phi (r)","own",300,300,300,300,0,0.00454516655112631,0.00336491239244453,0.0582819922673207,0.00238332789966841,0.055601584848203,0.954009680952163,0.0390123570027984,0.0583620298329032,0.933333333333333,0.0144016459964619,0.218036679280242,"03b_2x2_to_cor_CONT",300
0,25,0.3,0.5,"phi (r)","own",300,300,282,282,0,-0.00937065820017464,0.011948904706695,0.206961100467947,0.00846326876797429,0.189839773830956,0.917272730970803,0.0375100714007945,0.206828262136291,0.982269503546099,0.00785870930097946,0.740233214399099,"03b_2x2_to_cor_CONT",300
0.1,25,0.3,0.5,"phi (r)","own",300,300,288,288,0,0.0113298436458632,0.0113455374051808,0.196510472249464,0.00803591079970288,0.18989642579261,0.966342524237298,0.0395166844689715,0.19650956679443,0.961805555555556,0.0112939925123112,0.74023104666625,"03b_2x2_to_cor_CONT",300
0.25,25,0.3,0.5,"phi (r)","own",300,300,280,280,0,-0.0269175036211603,0.0120550597478718,0.208799759715924,0.00853845713599691,0.189083287331744,0.905572341601332,0.0370316068985287,0.210182223779981,0.964285714285714,0.0110903393465735,0.738502987150658,"03b_2x2_to_cor_CONT",300
0.5,25,0.3,0.5,"phi (r)","own",300,300,263,263,0,-0.0102169686600713,0.0113032932592859,0.195778782179341,0.00800598976766203,0.184942541685565,0.944650587907686,0.0386296352271565,0.195719067956398,0.965779467680608,0.0112099710312541,0.729377338173637,"03b_2x2_to_cor_CONT",300
0,50,0.3,0.5,"phi (r)","own",300,300,296,296,0,-0.0114040249206377,0.00856224649844291,0.148302459622318,0.0060645385625485,0.137638916663067,0.928095980428053,0.0379526669846623,0.14849363369963,0.949324324324324,0.0127485626601708,0.537353600257381,"03b_2x2_to_cor_CONT",300
0.1,50,0.3,0.5,"phi (r)","own",300,300,299,299,0,0.00524703937058382,0.00801287178051519,0.138787010383872,0.00567542290665518,0.137750385563378,0.992530822462224,0.0405876036221471,0.138654821622901,0.956521739130435,0.0117936411784159,0.537847053818334,"03b_2x2_to_cor_CONT",300
0.25,50,0.3,0.5,"phi (r)","own",300,300,293,293,0,-0.00681241358441138,0.00846576815636223,0.146631405719181,0.00599620408676513,0.13685866646437,0.933351663602499,0.0381675878522267,0.146545245202807,0.955631399317406,0.0120295466674395,0.535035105575879,"03b_2x2_to_cor_CONT",300
0.5,50,0.3,0.5,"phi (r)","own",300,300,297,297,0,-0.0100637717259253,0.00761716134239063,0.131933104544701,0.00539514585412629,0.134140199305615,1.01672889278647,0.0415771363041698,0.132096943300133,0.956228956228956,0.0118712423788313,0.527275801858998,"03b_2x2_to_cor_CONT",300
0,100,0.3,0.5,"phi (r)","own",300,300,296,296,0,0.000890172266999189,0.00561205734269756,0.0972036845254216,0.00397495425718147,0.0986877188086753,1.01526726368963,0.0415173658455782,0.0970456258899127,0.959459459459459,0.011463367788664,0.385894618705209,"03b_2x2_to_cor_CONT",300
0.1,100,0.3,0.5,"phi (r)","own",300,300,295,295,0,0.00234897677347619,0.00565853688641611,0.098008733837753,0.00400787517172207,0.0985595526317354,1.00562009907091,0.041122863947238,0.0978734415491093,0.955932203389831,0.0119498707052213,0.385451570823212,"03b_2x2_to_cor_CONT",300
0.25,100,0.3,0.5,"phi (r)","own",300,300,300,300,0,0.00179855271446566,0.00588199387981962,0.101879122496568,0.00416614713385411,0.0978562185654154,0.960512970345934,0.0392782962826483,0.101725083143417,0.953333333333333,0.0121776966745069,0.382973153869806,"03b_2x2_to_cor_CONT",300
0.5,100,0.3,0.5,"phi (r)","own",300,300,300,300,0,0.00294705509727986,0.00533497176805139,0.0924044215921057,0.00377869780125332,0.0958115723001569,1.0368721609783,0.0424008557963229,0.0922973474144956,0.98,0.00808290376865476,0.376125029775963,"03b_2x2_to_cor_CONT",300
0,300,0.3,0.5,"phi (r)","own",300,300,298,298,0,-0.00288996991246177,0.00348284536633714,0.0603246512940176,0.00246685843900734,0.0574664076719109,0.952618978132573,0.0389554869353705,0.0602933268943914,0.936241610738255,0.0141531955104145,0.225063179964003,"03b_2x2_to_cor_CONT",300
0.1,300,0.3,0.5,"phi (r)","own",300,300,299,299,0,-0.000578777124459371,0.003173519512309,0.054966970341304,0.00224776657211376,0.0574027816205916,1.04431409015565,0.0427051789113321,0.0548783343895073,0.966555183946488,0.0103978162636377,0.224821234616094,"03b_2x2_to_cor_CONT",300
0.25,300,0.3,0.5,"phi (r)","own",300,300,300,300,0,-0.000934883923864865,0.00353858721648615,0.0612901284596775,0.00250633973633252,0.0569941434465162,0.929907390943264,0.0380267410691386,0.0611950345621783,0.94,0.0137113092008021,0.223270928747628,"03b_2x2_to_cor_CONT",300
0.5,300,0.3,0.5,"phi (r)","own",300,300,300,300,0,0.000565463464117717,0.00329672596301959,0.0571009686658137,0.00233503225310355,0.0556384953348354,0.974387941830943,0.0398456860605347,0.0570085254100494,0.95,0.0125830573921179,0.218172580713516,"03b_2x2_to_cor_CONT",300
0,25,0.5,0.5,"phi (r)","own",300,300,297,297,0,-0.00112140941100102,0.0113662680320859,0.196869537240186,0.00805059405909213,0.18899521159746,0.960002315476978,0.0392574140521525,0.196544346658089,0.95959595959596,0.0114255832500108,0.736458944565285,"03b_2x2_to_cor_CONT",300
0.1,25,0.5,0.5,"phi (r)","own",300,300,295,295,0,-0.00410911744135382,0.0115266546861739,0.199647515577551,0.00816419404115433,0.188450173810871,0.943914444743839,0.0385995320945714,0.199356844763808,0.959322033898305,0.0115014028879788,0.734925876046361,"03b_2x2_to_cor_CONT",300
0.25,25,0.5,0.5,"phi (r)","own",300,300,297,297,0,0.0121032726817643,0.0111679573608024,0.193434695656725,0.00791013294137235,0.186448464000534,0.963883254591568,0.0394161174545052,0.193490949198681,0.956228956228956,0.0118712423788313,0.729295914339686,"03b_2x2_to_cor_CONT",300
0.5,25,0.5,0.5,"phi (r)","own",300,300,293,293,0,-0.000260451219875453,0.0111037300732588,0.192322246404148,0.00786464150847018,0.178694975715249,0.929143554925715,0.0379955054915515,0.192001618418273,0.972696245733788,0.00952063669630398,0.70750211414,"03b_2x2_to_cor_CONT",300
0.75,25,0.5,0.5,"phi (r)","own",300,300,268,268,0,0.00718187155143033,0.00962198279921305,0.166657630777908,0.00681513732927656,0.161553478608984,0.969373426556591,0.039640627281798,0.16653456885133,0.962686567164179,0.0115773099893243,0.661601365103553,"03b_2x2_to_cor_CONT",300
0,50,0.5,0.5,"phi (r)","own",300,300,292,292,0,-0.00626365163765382,0.00837400160563607,0.14504196243625,0.00593120691742037,0.137196907040965,0.945911822595936,0.0386812109489807,0.144935434922952,0.941780821917808,0.0137030275358916,0.535576346567706,"03b_2x2_to_cor_CONT",300
0.1,50,0.5,0.5,"phi (r)","own",300,300,295,295,0,-0.00928517187180483,0.00831389643699125,0.144000910377347,0.00588863513288681,0.137064536020013,0.951831038156929,0.0389232656736366,0.144060250354595,0.949152542372881,0.0127906207267745,0.535164645919407,"03b_2x2_to_cor_CONT",300
