"q","r_true","r_guess","delta","n","imb_std","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
1.4,0.2,0.5,0,25,0,"bonett","own",1000,1000,1000,1000,0,-0.00264987478623391,0.0106106588924078,0.335538495751282,0.00750662310602928,0.275870277151094,0.822171764623938,0.0183935186084452,0.335381153145619,0.906,0.00922843432007835,1.10798399053337,"08a_pre_post_to_smd_d",1000
0.5,0.5,0.5,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.0119089623478831,0.0158116777238805,0.500009152360094,0.0111861390089636,0.541874276389235,1.08372871542757,0.0242450363189511,0.499900956866077,0.972,0.0052168956286282,2.16005561901335,"08a_pre_post_to_smd_d",1000
0.7,0.5,0.5,0,25,0,"bonett","own",1000,1000,1000,1000,0,-0.0218242179949198,0.0121906472998319,0.385502116192503,0.00862440265268063,0.393122510469848,1.01976745122079,0.0228141033265668,0.385926892297491,0.963,0.00596917079668525,1.57188404557327,"08a_pre_post_to_smd_d",1000
1,0.5,0.5,0,25,0,"bonett","own",1000,1000,1000,1000,0,-0.00121761176577772,0.00937329797867989,0.296409708000809,0.00663123901163212,0.307492845313238,1.03739127637614,0.0232083812255351,0.296263968211694,0.968,0.00556560868189635,1.23345497723933,"08a_pre_post_to_smd_d",1000
1.4,0.5,0.5,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.00770757517455568,0.00867279296344179,0.274257794395575,0.00613565931327443,0.272622583111416,0.994037685281608,0.0222384803862561,0.274228968498972,0.961,0.00612200947402077,1.09558730103828,"08a_pre_post_to_smd_d",1000
0.5,0.8,0.5,0,25,0,"bonett","own",1000,1000,1000,1000,0,-0.0155998686705854,0.0123852358078299,0.391655545110178,0.00876206635529485,0.531025834459799,1.35584914113858,0.0303328787010631,0.391770376435068,0.997,0.00172945077987204,2.12641297273564,"08a_pre_post_to_smd_d",1000
0.7,0.8,0.5,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.0138745387673484,0.00820017230132214,0.259312216780025,0.00580129881609619,0.385878721325023,1.48808539033224,0.0332912506799003,0.259553627929964,0.997,0.00172945077987204,1.5472572783107,"08a_pre_post_to_smd_d",1000
1,0.8,0.5,0,25,0,"bonett","own",1000,1000,1000,1000,0,-0.00171920627180906,0.00590257684183157,0.186655868843512,0.00417584055385193,0.303153272201423,1.62412933533625,0.0363348079287217,0.186570438790709,0.999,0.000999499874937461,1.2178114356079,"08a_pre_post_to_smd_d",1000
1.4,0.8,0.5,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.000488078873450242,0.00554049693750529,0.175205896917043,0.00391968328750258,0.268979494585811,1.53521941509291,0.0343457268840579,0.175118952227272,0.997,0.00172945077987204,1.08141356452139,"08a_pre_post_to_smd_d",1000
0.5,0.2,0.8,0,25,0,"bonett","own",1000,1000,1000,1000,0,-0.000755868037900846,0.0187793422774195,0.593854945565393,0.0132856447545003,0.437594546152059,0.736871098607149,0.0164851833247466,0.59355842510455,0.832,0.0118226900492231,1.72992399519129,"08a_pre_post_to_smd_d",1000
0.7,0.2,0.8,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.0208803480446516,0.0145763132394445,0.460943497247119,0.0103121673096311,0.28768263192716,0.624116911606911,0.0139626614795485,0.46118589276041,0.773,0.0132465467198059,1.13883056230742,"08a_pre_post_to_smd_d",1000
1,0.2,0.8,0,25,0,"bonett","own",1000,1000,1000,1000,0,-0.00385654101638796,0.011885402018055,0.375849412838154,0.00840845364249875,0.20791409634365,0.553184571378275,0.0123757724910501,0.375681236233945,0.746,0.0137653187394989,0.831730468180536,"08a_pre_post_to_smd_d",1000
1.4,0.2,0.8,0,25,0,"bonett","own",1000,1000,1000,1000,0,-0.00570018061261814,0.00998304770849136,0.315691687489574,0.00706261292131202,0.191505718656047,0.606622620249929,0.0135712814936846,0.315585285410269,0.782,0.0130566458173606,0.769321684163328,"08a_pre_post_to_smd_d",1000
0.5,0.5,0.8,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.00519052145196677,0.0162608626386882,0.514213626573904,0.011503919638288,0.430572878940345,0.837342413131212,0.0187329143620179,0.513982664701326,0.896,0.00965318600255895,1.70552794573234,"08a_pre_post_to_smd_d",1000
0.7,0.5,0.8,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.00620686522600613,0.0119893503533075,0.379136547821963,0.00848199299412173,0.280096423961416,0.738774527463771,0.0165277665848396,0.378997760611319,0.862,0.0109066951914867,1.11268551530826,"08a_pre_post_to_smd_d",1000
1,0.5,0.8,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.00694608709560508,0.00923258997245914,0.291960130154021,0.00653169364113154,0.202391735827624,0.693217035219342,0.0155085603588325,0.291896771150168,0.858,0.0110379345894058,0.810883611451807,"08a_pre_post_to_smd_d",1000
1.4,0.5,0.8,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.000362513098673995,0.00809284818154225,0.255918330116254,0.00572537122992617,0.188348110069581,0.735969596175552,0.0164650150308881,0.255790595827034,0.872,0.0105648473723003,0.756945525009898,"08a_pre_post_to_smd_d",1000
0.5,0.8,0.8,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.00267468772326392,0.0124504725809081,0.393718513011446,0.00880821880191646,0.413944544898559,1.05137180807783,0.0235211518424251,0.393530694069565,0.967,0.00564898220921256,1.65308544266922,"08a_pre_post_to_smd_d",1000
0.7,0.8,0.8,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.000487705754771614,0.0084154943057365,0.266121296423048,0.00595363065052449,0.270656294536302,1.01704109432131,0.0227531096285082,0.265988649611928,0.958,0.00634318531969546,1.08202720559111,"08a_pre_post_to_smd_d",1000
1,0.8,0.8,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.00473779310012948,0.00609511440277562,0.192744441120679,0.00431205329223288,0.195772721941483,1.01571137825401,0.0227233613954986,0.192706294258386,0.96,0.00619677335393187,0.78600001240852,"08a_pre_post_to_smd_d",1000
1.4,0.8,0.8,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.00267636808677077,0.00569350784795951,0.180044526755957,0.00402793247801347,0.1843239178868,1.02376851553307,0.0229036146112497,0.179974382980739,0.964,0.00589101010014412,0.741098065777103,"08a_pre_post_to_smd_d",1000
