"alpha","n","k","se_bonett","se_hw","w_bonett","w_hw","weight_spread_bonett","weight_spread_hw"
0.7,100,5,0.159719141249985,0.0355397345991307,39.2,791.720042711396,1,6.08220199557339
0.85,100,5,0.159719141249985,0.0282079060446654,39.2,1256.77722866438,1,6.08220199557339
0.95,100,5,0.159719141249985,0.0195582696818922,39.2,2614.20198252477,1,6.08220199557339
0.98,100,5,0.159719141249985,0.0144106563133988,39.2,4815.40122371471,1,6.08220199557339
0.7,200,5,0.112366643743874,0.02503885940641,79.2,1595.03756920151,1,6.0822019955734
0.85,200,5,0.112366643743874,0.0198733558809096,79.2,2531.96431527928,1,6.0822019955734
0.95,200,5,0.112366643743874,0.0137794153592111,79.2,5266.69801275713,1,6.0822019955734
0.98,200,5,0.112366643743874,0.0101527600432366,79.2,9701.34068641199,1,6.0822019955734
0.7,1000,5,0.0500500751252191,0.011165282287565,399.2,8021.59229361605,1,6.0822019955734
0.85,1000,5,0.0500500751252191,0.00886189042440128,399.2,12733.4840453461,1,6.0822019955734
0.95,1000,5,0.0500500751252191,0.00614449163781856,399.2,26486.714173814,1,6.0822019955734
0.98,1000,5,0.0500500751252191,0.00452730014737121,399.2,48788.9446559077,1,6.0822019955734
0.7,100,10,0.150584650484209,0.0335071831154873,44.1,890.68504805032,1,6.0822019955734
0.85,100,10,0.150584650484209,0.0265946688630078,44.1,1413.87438224742,1,6.0822019955734
0.95,100,10,0.150584650484209,0.0184397134937883,44.1,2940.97723034037,1,6.0822019955734
0.98,100,10,0.150584650484209,0.013586497067404,44.1,5417.32637667905,1,6.0822019955734
0.7,200,10,0.105940287693955,0.0236068630392655,89.1,1794.4172653517,1,6.0822019955734
0.85,200,10,0.105940287693955,0.0187367796110996,89.1,2848.4598546892,1,6.0822019955734
0.95,200,10,0.105940287693955,0.012991357388379,89.1,5925.03526435177,1,6.0822019955734
0.98,200,10,0.105940287693955,0.00957211396577656,89.1,10914.0082722135,1,6.0822019955734
0.7,1000,10,0.0471876633599181,0.0105267290925323,449.1,9024.29133031805,1,6.0822019955734
0.85,1000,10,0.0471876633599181,0.00835507041763503,449.1,14325.1695510144,1,6.0822019955734
0.95,1000,10,0.0471876633599181,0.00579308227206072,449.1,29797.5534455407,1,6.0822019955734
0.98,1000,10,0.0471876633599181,0.00426837951289738,449.1,54887.5627378962,1,6.0822019955734
0.7,100,20,0.146568336012165,0.0326134971784983,46.55,940.167550719782,1,6.0822019955734
0.85,100,20,0.146568336012165,0.025885349864755,46.55,1492.42295903895,1,6.0822019955734
0.95,100,20,0.146568336012165,0.0179478991692386,46.55,3104.36485424817,1,6.0822019955734
0.98,100,20,0.146568336012165,0.0132241251747793,46.55,5718.28895316121,1,6.0822019955734
0.7,200,20,0.103114704148291,0.0229772332240135,94.05,1894.1071134268,1,6.0822019955734
0.85,200,20,0.103114704148291,0.0182370420955588,94.05,3006.70762439415,1,6.0822019955734
0.95,200,20,0.103114704148291,0.0126448587477629,94.05,6254.20389014909,1,6.0822019955734
0.98,200,20,0.103114704148291,0.00931681158452336,94.05,11520.3420651142,1,6.0822019955734
0.7,1000,20,0.0459290988605156,0.0102459657194948,474.05,9525.64084866906,1,6.08220199557339
0.85,1000,20,0.0459290988605156,0.00813222838077809,474.05,15121.0123038485,1,6.08220199557339
0.95,1000,20,0.0459290988605156,0.0056385722334067,474.05,31452.9730814041,1,6.08220199557339
0.98,1000,20,0.0459290988605156,0.00415453554304587,474.05,57936.8717788904,1,6.08220199557339
