"m","k","n","bonett_k","bifactor_m","ratio","pct_narrower","bifactor_m_nm2","denom_effect_pct"
2,4,100,0.164957219768465,0.2,0.824786098842322,17.5213901157678,0.202030508910442,1.00505063388333
3,4,100,0.164957219768465,0.173205080756888,0.952380952380952,4.76190476190477,0.174963553055941,1.00505063388335
4,4,100,0.164957219768465,0.163299316185545,1.01015254455221,-1.01525445522106,0.164957219768465,1.00505063388334
5,4,100,0.164957219768465,0.158113883008419,1.0432810619146,-4.3281061914602,0.159719141249985,1.00505063388335
2,8,100,0.152720709664243,0.2,0.763603548321212,23.6396451678788,0.202030508910442,1.00505063388333
3,8,100,0.152720709664243,0.173205080756888,0.881733428354811,11.8266571645189,0.174963553055941,1.00505063388335
4,8,100,0.152720709664243,0.163299316185545,0.935219529582824,6.47804704171756,0.164957219768465,1.00505063388334
5,8,100,0.152720709664243,0.158113883008419,0.96589057683259,3.41094231674096,0.159719141249985,1.00505063388335
2,10,100,0.150584650484209,0.2,0.752923252421043,24.7076747578957,0.202030508910442,1.00505063388333
3,10,100,0.150584650484209,0.173205080756888,0.869400884928835,13.0599115071165,0.174963553055941,1.00505063388335
4,10,100,0.150584650484209,0.163299316185545,0.922138891954147,7.78611080458531,0.164957219768465,1.00505063388334
5,10,100,0.150584650484209,0.158113883008419,0.952380952380952,4.76190476190476,0.159719141249985,1.00505063388335
2,20,100,0.146568336012165,0.2,0.732841680060824,26.7158319939176,0.202030508910442,1.00505063388333
3,20,100,0.146568336012165,0.173205080756888,0.846212682512989,15.3787317487011,0.174963553055941,1.00505063388335
4,20,100,0.146568336012165,0.163299316185545,0.89754408919649,10.245591080351,0.164957219768465,1.00505063388334
5,20,100,0.146568336012165,0.158113883008419,0.926979549318643,7.30204506813569,0.159719141249985,1.00505063388335
2,4,200,0.116051770637132,0.14142135623731,0.820609939862218,17.9390060137782,0.14213381090374,0.501256289338015
3,4,200,0.116051770637132,0.122474487139159,0.947558739358269,5.24412606417314,0.123091490979333,0.501256289338015
4,4,200,0.116051770637132,0.115470053837925,1.00503781525921,-0.503781525921188,0.116051770637132,0.501256289337992
5,4,200,0.116051770637132,0.111803398874989,1.03799859221536,-3.79985922153638,0.112366643743874,0.501256289338003
2,8,200,0.107443061870051,0.14142135623731,0.759737176397586,24.0262823602414,0.14213381090374,0.501256289338015
3,8,200,0.107443061870051,0.122474487139159,0.877268926613025,12.2731073386975,0.123091490979333,0.501256289338015
4,8,200,0.107443061870051,0.115470053837925,0.930484210398471,6.95157896015293,0.116051770637132,0.501256289337992
5,8,200,0.107443061870051,0.111803398874989,0.960999960208596,3.90000397914038,0.112366643743874,0.501256289338003
2,10,200,0.105940287693955,0.14142135623731,0.749110958292491,25.0889041707509,0.14213381090374,0.501256289338015
3,10,200,0.105940287693955,0.122474487139159,0.864998826846137,13.5001173153863,0.123091490979333,0.501256289338015
4,10,200,0.105940287693955,0.115470053837925,0.917469804271967,8.2530195728033,0.116051770637132,0.501256289337992
5,10,200,0.105940287693955,0.111803398874989,0.947558739358269,5.24412606417315,0.112366643743874,0.501256289338003
2,20,200,0.103114704148291,0.14142135623731,0.729131065433012,27.0868934566988,0.14213381090374,0.501256289338015
3,20,200,0.103114704148291,0.122474487139159,0.841928033804536,15.8071966195464,0.123091490979333,0.501256289338015
4,20,200,0.103114704148291,0.115470053837925,0.892999532961366,10.7000467038634,0.116051770637132,0.501256289337992
5,20,200,0.103114704148291,0.111803398874989,0.922285951821433,7.77140481785671,0.112366643743874,0.501256289338003
2,4,500,0.0731761733264602,0.0894427190999916,0.81813448945636,18.186551054364,0.0896221429896442,0.200200401002804
3,4,500,0.0731761733264602,0.0774596669241483,0.944700335441893,5.52996645581071,0.0776150525706333,0.200200401002815
4,4,500,0.0731761733264602,0.0730296743340221,1.00200602007025,-0.200602007025297,0.0731761733264602,0.200200401002815
5,4,500,0.0731761733264602,0.0707106781186548,1.03486736760844,-3.48673676084439,0.070852525158142,0.200200401002815
2,8,500,0.0677479720900769,0.0894427190999916,0.757445354655852,24.2554645344147,0.0896221429896442,0.200200401002804
3,8,500,0.0677479720900769,0.0774596669241483,0.874622558813976,12.5377441186024,0.0776150525706333,0.200200401002815
4,8,500,0.0677479720900769,0.0730296743340221,0.927677313474139,7.23226865258614,0.0731761733264602,0.200200401002815
5,8,500,0.0677479720900769,0.0707106781186548,0.958101009530607,4.18989904693929,0.070852525158142,0.200200401002815
2,10,500,0.0668004013380169,0.0894427190999916,0.746851191580368,25.3148808419632,0.0896221429896442,0.200200401002804
3,10,500,0.0668004013380169,0.0774596669241483,0.862389473007037,13.7610526992963,0.0776150525706333,0.200200401002815
4,10,500,0.0668004013380169,0.0730296743340221,0.914702166580753,8.52978334192471,0.0731761733264602,0.200200401002815
5,10,500,0.0668004013380169,0.0707106781186548,0.944700335441893,5.52996645581071,0.070852525158142,0.200200401002815
2,20,500,0.0650187362229503,0.0894427190999916,0.726931570028224,27.3068429971776,0.0896221429896442,0.200200401002804
3,20,500,0.0650187362229503,0.0774596669241483,0.839388275276465,16.0611724723535,0.0776150525706333,0.200200401002815
4,20,500,0.0650187362229503,0.0730296743340221,0.890305712244703,10.9694287755297,0.0731761733264602,0.200200401002815
5,20,500,0.0650187362229503,0.0707106781186548,0.919503785748552,8.04962142514484,0.070852525158142,0.200200401002815
2,4,1500,0.0421918394107391,0.0516397779494322,0.817041456918251,18.2958543081749,0.0516742389328802,0.0666889037160612
3,4,1500,0.0421918394107391,0.0447213595499958,0.943438210181672,5.6561789818328,0.0447512036371011,0.0666889037160612
4,4,1500,0.0421918394107391,0.0421637021355784,1.00066733407494,-0.0667334074939241,0.0421918394107391,0.0666889037160612
5,4,1500,0.0421918394107391,0.0408248290463863,1.0334847786576,-3.34847786576036,0.0408520728459125,0.0666889037160612
2,8,1500,0.0390620529728379,0.0516397779494322,0.756433403162366,24.3566596837634,0.0516742389328802,0.0666889037160612
3,8,1500,0.0390620529728379,0.0447213595499958,0.873454057879633,12.6545942120367,0.0447512036371011,0.0666889037160612
4,8,1500,0.0390620529728379,0.0421637021355784,0.926437931072393,7.35620689276066,0.0421918394107391,0.0666889037160612
5,8,1500,0.0390620529728379,0.0408248290463863,0.956820980890196,4.31790191098043,0.0408520728459125,0.0666889037160612
2,10,1500,0.0385157036464954,0.0516397779494322,0.745853393951685,25.4146606048315,0.0516742389328802,0.0666889037160612
3,10,1500,0.0385157036464954,0.0447213595499958,0.861237315548003,13.8762684451997,0.0447512036371011,0.0666889037160612
4,10,1500,0.0385157036464954,0.0421637021355784,0.913480119052337,8.65198809476631,0.0421918394107391,0.0666889037160612
5,10,1500,0.0385157036464954,0.0408248290463863,0.943438210181672,5.65617898183282,0.0408520728459125,0.0666889037160612
2,20,1500,0.0374884330883147,0.0516397779494322,0.725960385132269,27.4039614867731,0.0516742389328802,0.0666889037160612
3,20,1500,0.0374884330883147,0.0447213595499958,0.83826684755424,16.173315244576,0.0447512036371011,0.0666889037160612
4,20,1500,0.0374884330883147,0.0421637021355784,0.88911625852421,11.088374147579,0.0421918394107391,0.0666889037160612
5,20,1500,0.0374884330883147,0.0408248290463863,0.918275323228403,8.17246767715969,0.0408520728459125,0.0666889037160612
