r	n	p	method	bias_ci	bias_es	bias_var
r=0.75	n=100	0.7	Viechtbauer (r)	0.9785	-0.00134990685401221	1.02235065691627
r=0.75	n=100	0.7	Lipsey-Cooper (z)	0.0954	-0.335641739388056	1.68946359338546
r=0.75	n=100	0.7	Viechtbauer (z)	0.1582	-0.29273504356036	0.960460231113573
r=0.75	n=300	0.3	Lipsey-Cooper (r)	0	-0.182051220310753	1.15886409188523
r=0.75	n=300	0.3	Viechtbauer (r)	0.9838	0.000126868488736842	1.00276379697417
r=0.75	n=300	0.3	Lipsey-Cooper (z)	0	-0.32933730037983	1.70216247183144
r=0.75	n=300	0.3	Viechtbauer (z)	5e-04	-0.292128511765151	0.981214447611751
r=0.75	n=300	0.5	Lipsey-Cooper (r)	3e-04	-0.152947949746809	1.08558504388875
r=0.75	n=300	0.5	Viechtbauer (r)	0.9868	-0.000345414313104363	0.982095621444528
r=0.75	n=300	0.5	Lipsey-Cooper (z)	8e-04	-0.28476783219082	1.67598865931215
r=0.75	n=300	0.5	Viechtbauer (z)	0.0048	-0.248555686564679	0.964071123677585
r=0.75	n=300	0.7	Lipsey-Cooper (r)	1e-04	-0.182072266224258	1.15792003425365
r=0.75	n=300	0.7	Viechtbauer (r)	0.9821	-1.41756395762184e-05	1.0023387503144
r=0.75	n=300	0.7	Lipsey-Cooper (z)	1e-04	-0.329045293257289	1.70209275082725
r=0.75	n=300	0.7	Viechtbauer (z)	0.001	-0.291942029686942	0.983021745539967
