or	n	br	br_guess	method	bias_ci	bias_es	bias_var
or=0.5	n=50	br=0.01	guessed br=0.7	Grant	1	-0.4291064383485	2.72638053647701
or=0.5	n=50	br=0.01	guessed br=0.7	metaumbrella	1	-0.0119259882895623	1.6058346714805
or=0.5	n=50	br=0.01	guessed br=0.7	or = rr	1	0.00482063219477552	4.92532575199259
or=0.5	n=50	br=0.05	guessed br=0.01	Di Pietrantonj	1	-0.101644964218565	1.55879822713677
or=0.5	n=50	br=0.05	guessed br=0.01	Grant	1	0.0268917386770227	2.50858132998885
or=0.5	n=50	br=0.05	guessed br=0.01	metaumbrella	1	-0.0266812613468859	1.40269753042214
or=0.5	n=50	br=0.05	guessed br=0.01	or = rr	1	0.026006919764307	2.39202628791634
or=0.5	n=50	br=0.05	guessed br=0.05	Di Pietrantonj	1	-0.101475188513503	1.53494787841506
or=0.5	n=50	br=0.05	guessed br=0.05	Grant	1	0.0339043831094085	2.25687488586714
or=0.5	n=50	br=0.05	guessed br=0.05	metaumbrella	1	-0.0271840510887439	1.39624984618939
or=0.5	n=50	br=0.05	guessed br=0.05	or = rr	1	0.0260535933534707	2.36538571855019
or=0.5	n=50	br=0.05	guessed br=0.15	Di Pietrantonj	1	-0.101507614170532	1.54305309445492
or=0.5	n=50	br=0.05	guessed br=0.15	Grant	1	0.0356477846824891	2.46258096060575
or=0.5	n=50	br=0.05	guessed br=0.15	metaumbrella	1	-0.026720619526131	1.38788969573405
or=0.5	n=50	br=0.05	guessed br=0.15	or = rr	1	0.0260820624333758	2.3698202212415
or=0.5	n=50	br=0.05	guessed br=0.4	Di Pietrantonj	1	-0.10122144253584	1.53091791722091
or=0.5	n=50	br=0.05	guessed br=0.4	Grant	1	0.05901439585349	1.27442075494772
or=0.5	n=50	br=0.05	guessed br=0.4	metaumbrella	1	-0.0267994810368331	1.38714054310792
or=0.5	n=50	br=0.05	guessed br=0.4	or = rr	1	0.0258459280551576	2.35455158988273
or=0.5	n=50	br=0.05	guessed br=0.7	Di Pietrantonj	1	-0.101536244726776	1.54851713599218
or=0.5	n=50	br=0.05	guessed br=0.7	Grant	1	-0.499176448675362	1.74856685220676
or=0.5	n=50	br=0.05	guessed br=0.7	metaumbrella	1	-0.0276100435941611	1.38295388326339
or=0.5	n=50	br=0.05	guessed br=0.7	or = rr	1	0.0255598025275578	2.37716868743069
or=0.5	n=50	br=0.15	guessed br=0.01	Di Pietrantonj	1	-0.050492425181584	1.05119185605028
or=0.5	n=50	br=0.15	guessed br=0.01	Grant	1	0.0787628196144228	1.42710329226279
or=0.5	n=50	br=0.15	guessed br=0.01	metaumbrella	1	-0.0500583903638445	0.981454472572464
or=0.5	n=50	br=0.15	guessed br=0.01	or = rr	1	0.0808613688615213	1.38752512456226
or=0.5	n=50	br=0.15	guessed br=0.05	Di Pietrantonj	1	-0.0493177918578998	1.04643553156804
or=0.5	n=50	br=0.15	guessed br=0.05	Grant	1	0.0717750392777201	1.37935635172483
or=0.5	n=50	br=0.15	guessed br=0.05	metaumbrella	1	-0.0494668864330384	0.972112623575443
or=0.5	n=50	br=0.15	guessed br=0.05	or = rr	1	0.0812274665855013	1.37574078934887
or=0.5	n=50	br=0.15	guessed br=0.15	Di Pietrantonj	1	-0.0509161475865939	1.03594929788801
or=0.5	n=50	br=0.15	guessed br=0.15	Grant	1	0.0561311698131084	1.38398637001939
or=0.5	n=50	br=0.15	guessed br=0.15	metaumbrella	1	-0.0496570575158671	0.961197643630064
or=0.5	n=50	br=0.15	guessed br=0.15	or = rr	0.999966666666667	0.0800107402954693	1.35990464404285
or=0.5	n=50	br=0.15	guessed br=0.4	Di Pietrantonj	1	-0.049925085917077	1.03143051493536
or=0.5	n=50	br=0.15	guessed br=0.4	Grant	1	-0.0489607132551079	1.42442821112051
or=0.5	n=50	br=0.15	guessed br=0.4	metaumbrella	1	-0.0492407020483354	0.958019432734227
or=0.5	n=50	br=0.15	guessed br=0.4	or = rr	1	0.080379563203603	1.34887663403074
or=0.5	n=50	br=0.15	guessed br=0.7	Di Pietrantonj	1	-0.0513050331500179	1.03299257099657
or=0.5	n=50	br=0.15	guessed br=0.7	Grant	1	-0.510896339984335	1.22414274525436
or=0.5	n=50	br=0.15	guessed br=0.7	metaumbrella	1	-0.0486219253606181	0.955322060323581
or=0.5	n=50	br=0.15	guessed br=0.7	or = rr	1	0.0803571951831403	1.35082610591711
or=0.5	n=50	br=0.4	guessed br=0.01	Di Pietrantonj	1	-0.0042216262804428	0.899926774803129
or=0.5	n=50	br=0.4	guessed br=0.01	Grant	0.987064079482563	0.228871889625984	0.957554983909473
or=0.5	n=50	br=0.4	guessed br=0.01	metaumbrella	1	-0.0485858074960857	0.71379536622303
or=0.5	n=50	br=0.4	guessed br=0.01	or = rr	0.987033333333333	0.232077833465252	0.956033585278613
or=0.5	n=50	br=0.4	guessed br=0.05	Di Pietrantonj	1	-0.00465651192407713	0.890678571778912
or=0.5	n=50	br=0.4	guessed br=0.05	Grant	0.987844787283777	0.215924845464746	0.958506517322052
or=0.5	n=50	br=0.4	guessed br=0.05	metaumbrella	1	-0.0481145918170444	0.706974691919208
or=0.5	n=50	br=0.4	guessed br=0.05	or = rr	0.987566666666667	0.232388730013398	0.95370563085705
or=0.5	n=50	br=0.4	guessed br=0.15	Di Pietrantonj	1	-0.0039698465323347	0.913405640898089
or=0.5	n=50	br=0.4	guessed br=0.15	Grant	0.995367573011078	0.17888301483581	1.0100677536339
or=0.5	n=50	br=0.4	guessed br=0.15	metaumbrella	1	-0.0484320858778132	0.723025489444478
or=0.5	n=50	br=0.4	guessed br=0.15	or = rr	0.987233333333333	0.232100196927845	0.975020463947492
or=0.5	n=50	br=0.4	guessed br=0.4	Di Pietrantonj	1	-0.00441028775826471	0.89776843298449
or=0.5	n=50	br=0.4	guessed br=0.4	Grant	0.999239803869398	0.0576738036756917	1.10283029494929
or=0.5	n=50	br=0.4	guessed br=0.4	metaumbrella	1	-0.0487870862796534	0.710370610908815
or=0.5	n=50	br=0.4	guessed br=0.4	or = rr	0.986966666666667	0.233437229776212	0.955992819245319
or=0.5	n=50	br=0.4	guessed br=0.7	Di Pietrantonj	1	-0.00368207525698386	0.90063516114704
or=0.5	n=50	br=0.4	guessed br=0.7	Grant	0.999776035834267	-0.172485401017514	0.226759998882889
or=0.5	n=50	br=0.4	guessed br=0.7	metaumbrella	1	-0.0477734311305391	0.709342411209757
or=0.5	n=50	br=0.4	guessed br=0.7	or = rr	0.9878	0.230354696504235	0.950471447046774
or=0.5	n=50	br=0.7	guessed br=0.01	Di Pietrantonj	1	0	0.946327045282154
or=0.5	n=50	br=0.7	guessed br=0.01	Grant	0.5546	0.462161917429172	0.971381745156084
or=0.5	n=50	br=0.7	guessed br=0.01	metaumbrella	1	-0.0624390956606445	0.656755280406601
or=0.5	n=50	br=0.7	guessed br=0.01	or = rr	0.551733333333333	0.464334507601983	0.970751339341502
or=0.5	n=50	br=0.7	guessed br=0.05	Di Pietrantonj	1	0	0.95525861103258
or=0.5	n=50	br=0.7	guessed br=0.05	Grant	0.564866666666667	0.451863819863365	0.987740155590816
or=0.5	n=50	br=0.7	guessed br=0.05	metaumbrella	1	-0.0590174291507061	0.66964006040933
or=0.5	n=50	br=0.7	guessed br=0.05	or = rr	0.555233333333333	0.463015977827484	0.984001328104582
or=0.5	n=50	br=0.7	guessed br=0.15	Di Pietrantonj	1	0	0.959316931075153
or=0.5	n=50	br=0.7	guessed br=0.15	Grant	0.649488316277209	0.42725333534622	1.00129426164618
or=0.5	n=50	br=0.7	guessed br=0.15	metaumbrella	1	-0.060358126732752	0.669171434377464
or=0.5	n=50	br=0.7	guessed br=0.15	or = rr	0.558166666666667	0.464029799968441	0.985675533989621
or=0.5	n=50	br=0.7	guessed br=0.4	Di Pietrantonj	1	0	0.956424091824042
or=0.5	n=50	br=0.7	guessed br=0.4	Grant	0.815981765770597	0.335677105948741	1.08958027661707
or=0.5	n=50	br=0.7	guessed br=0.4	metaumbrella	1	-0.0613524758705789	0.66349346416753
or=0.5	n=50	br=0.7	guessed br=0.4	or = rr	0.554933333333333	0.46171090123695	0.981212603102386
or=0.5	n=50	br=0.7	guessed br=0.7	Di Pietrantonj	1	0	0.929207112172253
or=0.5	n=50	br=0.7	guessed br=0.7	Grant	0.938098812309594	0.144205884395881	0.347064291224865
or=0.5	n=50	br=0.7	guessed br=0.7	metaumbrella	1	-0.0591426282574334	0.653910323362472
or=0.5	n=50	br=0.7	guessed br=0.7	or = rr	0.5556	0.462143402492279	0.955316691375811
or=0.5	n=75	br=0.01	guessed br=0.01	Di Pietrantonj	1	-0.0594984647275144	2.41553432164616
or=0.5	n=75	br=0.01	guessed br=0.01	Grant	1	0.00744927986609294	4.49801691531945
or=0.5	n=75	br=0.01	guessed br=0.01	metaumbrella	1	-0.00884104986124143	1.72077810807892
or=0.5	n=75	br=0.01	guessed br=0.01	or = rr	1	0.00510757629722718	4.30013559141785
or=0.5	n=75	br=0.01	guessed br=0.05	Di Pietrantonj	1	-0.0585401244605729	2.41960237873051
or=0.5	n=75	br=0.01	guessed br=0.05	Grant	1	0.0191958750903337	4.02314458086446
or=0.5	n=75	br=0.01	guessed br=0.05	metaumbrella	1	-0.00774960454290821	1.73277014580579
or=0.5	n=75	br=0.01	guessed br=0.05	or = rr	1	0.00518834237099295	4.31416440016386
or=0.5	n=75	br=0.01	guessed br=0.15	Di Pietrantonj	1	-0.0602927852817667	2.39086061758287
or=0.5	n=75	br=0.01	guessed br=0.15	Grant	1	0.0369577054684079	3.35106244063345
or=0.5	n=75	br=0.01	guessed br=0.15	metaumbrella	1	-0.00773854857834068	1.67601199644769
or=0.5	n=75	br=0.01	guessed br=0.15	or = rr	1	0.00506187237336446	4.24905991868188
or=0.5	n=75	br=0.01	guessed br=0.4	Di Pietrantonj	1	-0.0605300418258283	2.38540825257121
or=0.5	n=75	br=0.01	guessed br=0.4	Grant	1	0.334494931741077	1.06621905041722
or=0.5	n=75	br=0.01	guessed br=0.4	metaumbrella	1	-0.00745928719022347	1.68790541746848
or=0.5	n=75	br=0.01	guessed br=0.4	or = rr	1	0.00503020058622447	4.24048482511382
or=0.5	n=75	br=0.01	guessed br=0.7	Di Pietrantonj	1	-0.0607514046510406	2.41488147836544
or=0.5	n=75	br=0.01	guessed br=0.7	Grant	1	-0.426955668189903	2.5095212729261
or=0.5	n=75	br=0.01	guessed br=0.7	metaumbrella	1	-0.00880741220466402	1.71946607945166
or=0.5	n=75	br=0.01	guessed br=0.7	or = rr	1	0.00510196293474779	4.29536205128193
or=0.5	n=75	br=0.05	guessed br=0.01	Di Pietrantonj	1	-0.0768701343164126	1.43587006637403
or=0.5	n=75	br=0.05	guessed br=0.01	Grant	1	0.0260345413927387	2.05059394871912
or=0.5	n=75	br=0.05	guessed br=0.01	metaumbrella	1	-0.0182540928733536	1.37805089995624
or=0.5	n=75	br=0.05	guessed br=0.01	or = rr	1	0.0262122952802362	1.97834282743672
or=0.5	n=75	br=0.05	guessed br=0.05	Di Pietrantonj	1	-0.0795108647446964	1.42758058637383
or=0.5	n=75	br=0.05	guessed br=0.05	Grant	1	0.0283363034237088	1.90725551433843
or=0.5	n=75	br=0.05	guessed br=0.05	metaumbrella	1	-0.0188556662269256	1.35756422312655
or=0.5	n=75	br=0.05	guessed br=0.05	or = rr	1	0.0260339450128732	1.95290262018385
or=0.5	n=75	br=0.05	guessed br=0.15	Di Pietrantonj	1	-0.077592582612842	1.43760117078494
or=0.5	n=75	br=0.05	guessed br=0.15	Grant	1	0.0256073135471422	2.02308584898881
or=0.5	n=75	br=0.05	guessed br=0.15	metaumbrella	1	-0.0183879055903695	1.37126043395759
or=0.5	n=75	br=0.05	guessed br=0.15	or = rr	1	0.0257278175251724	1.9727114467595
or=0.5	n=75	br=0.05	guessed br=0.4	Di Pietrantonj	1	-0.0782351039316656	1.4301031548484
or=0.5	n=75	br=0.05	guessed br=0.4	Grant	1	-0.00480143531301309	1.35610271782585
or=0.5	n=75	br=0.05	guessed br=0.4	metaumbrella	1	-0.0185688152001541	1.35950118400726
or=0.5	n=75	br=0.05	guessed br=0.4	or = rr	1	0.0257902079134744	1.96346486728878
or=0.5	n=75	br=0.05	guessed br=0.7	Di Pietrantonj	1	-0.080083130846981	1.41356816119581
or=0.5	n=75	br=0.05	guessed br=0.7	Grant	1	-0.550738794350259	1.73516798809022
or=0.5	n=75	br=0.05	guessed br=0.7	metaumbrella	1	-0.0191866049110896	1.33480083753306
or=0.5	n=75	br=0.05	guessed br=0.7	or = rr	1	0.0253054554875962	1.94519054450992
or=0.5	n=75	br=0.15	guessed br=0.01	Di Pietrantonj	1	-0.0182044682544611	0.982554059865567
or=0.5	n=75	br=0.15	guessed br=0.01	Grant	1	0.077324512311268	1.17679998511564
or=0.5	n=75	br=0.15	guessed br=0.01	metaumbrella	1	-0.037012179945919	0.889322176196727
or=0.5	n=75	br=0.15	guessed br=0.01	or = rr	1	0.0803346823212785	1.16133746128696
or=0.5	n=75	br=0.15	guessed br=0.05	Di Pietrantonj	1	-0.0193453489557238	0.971492380198687
or=0.5	n=75	br=0.15	guessed br=0.05	Grant	1	0.0643189725085407	1.16492704638541
or=0.5	n=75	br=0.15	guessed br=0.05	metaumbrella	1	-0.0360623612653359	0.88151766014433
or=0.5	n=75	br=0.15	guessed br=0.05	or = rr	1	0.0787567901453159	1.15161141428061
or=0.5	n=75	br=0.15	guessed br=0.15	Di Pietrantonj	1	-0.0191118737033616	0.966526734132328
or=0.5	n=75	br=0.15	guessed br=0.15	Grant	1	0.0372323263131987	1.14047909652281
or=0.5	n=75	br=0.15	guessed br=0.15	metaumbrella	1	-0.0373626860674965	0.87563618479686
or=0.5	n=75	br=0.15	guessed br=0.15	or = rr	1	0.0793685766575178	1.14608006843296
or=0.5	n=75	br=0.15	guessed br=0.4	Di Pietrantonj	1	-0.019308115783275	0.979867714325731
or=0.5	n=75	br=0.15	guessed br=0.4	Grant	1	-0.0828213504702354	1.2709038628011
or=0.5	n=75	br=0.15	guessed br=0.4	metaumbrella	1	-0.0360322540721516	0.887231219690795
or=0.5	n=75	br=0.15	guessed br=0.4	or = rr	1	0.0798373174038164	1.15544839350628
or=0.5	n=75	br=0.15	guessed br=0.7	Di Pietrantonj	1	-0.0192010501213013	0.970272447118336
or=0.5	n=75	br=0.15	guessed br=0.7	Grant	1	-0.526662443098194	1.15924601391506
or=0.5	n=75	br=0.15	guessed br=0.7	metaumbrella	1	-0.0361063187549588	0.883216293867726
or=0.5	n=75	br=0.15	guessed br=0.7	or = rr	1	0.0802301869921646	1.15057128226329
or=0.5	n=75	br=0.4	guessed br=0.01	Di Pietrantonj	0.999866653332	-0.000819031427792766	0.928559365948918
or=0.5	n=75	br=0.4	guessed br=0.01	Grant	0.985	0.226527191077687	0.943867677932308
or=0.5	n=75	br=0.4	guessed br=0.01	metaumbrella	1	-0.0441052501043978	0.684022988035648
or=0.5	n=75	br=0.4	guessed br=0.01	or = rr	0.9842	0.229991508887207	0.942413679982998
or=0.5	n=75	br=0.4	guessed br=0.05	Di Pietrantonj	0.999966665555518	-0.000664718351601853	0.930685617125882
or=0.5	n=75	br=0.4	guessed br=0.05	Grant	0.989932997766592	0.209584041033614	0.951385054831077
or=0.5	n=75	br=0.4	guessed br=0.05	metaumbrella	1	-0.0440890906139541	0.67977497080226
or=0.5	n=75	br=0.4	guessed br=0.05	or = rr	0.9845	0.227256282110909	0.943459649712762
or=0.5	n=75	br=0.4	guessed br=0.15	Di Pietrantonj	0.999966665555518	-0.000326541692299673	0.950167983031965
or=0.5	n=75	br=0.4	guessed br=0.15	Grant	0.995430134427433	0.170133029149667	0.991014755104144
or=0.5	n=75	br=0.4	guessed br=0.15	metaumbrella	1	-0.043919623753102	0.691297842763949
or=0.5	n=75	br=0.4	guessed br=0.15	or = rr	0.986433333333333	0.227868234466534	0.957075088356539
or=0.5	n=75	br=0.4	guessed br=0.4	Di Pietrantonj	0.999933331111037	-0.000738865435292463	0.93375958760868
or=0.5	n=75	br=0.4	guessed br=0.4	Grant	0.999482044198895	0.0348663985218817	1.11349951054939
or=0.5	n=75	br=0.4	guessed br=0.4	metaumbrella	1	-0.0428080399433768	0.688718526101875
or=0.5	n=75	br=0.4	guessed br=0.4	or = rr	0.984433333333333	0.226373888967049	0.950944358009926
or=0.5	n=75	br=0.4	guessed br=0.7	Di Pietrantonj	0.99996666222163	-0.000602938397303904	0.930956644785337
or=0.5	n=75	br=0.4	guessed br=0.7	Grant	0.999946754698898	-0.300138991257596	1.04179500299352
or=0.5	n=75	br=0.4	guessed br=0.7	metaumbrella	1	-0.0445161702301165	0.678294312885961
or=0.5	n=75	br=0.4	guessed br=0.7	or = rr	0.984133333333333	0.228286479608582	0.943442567996217
or=0.5	n=75	br=0.7	guessed br=0.01	Di Pietrantonj	1	0	0.961891342183213
or=0.5	n=75	br=0.7	guessed br=0.01	Grant	0.451866666666667	0.448233289143929	0.990859401276931
or=0.5	n=75	br=0.7	guessed br=0.01	metaumbrella	0.999966666666667	-0.0426976561615934	0.641742658282851
or=0.5	n=75	br=0.7	guessed br=0.01	or = rr	0.440133333333333	0.450451942422029	0.990471772583145
or=0.5	n=75	br=0.7	guessed br=0.05	Di Pietrantonj	1	0	0.956331833964429
or=0.5	n=75	br=0.7	guessed br=0.05	Grant	0.4792	0.44057968027994	0.983761491110635
or=0.5	n=75	br=0.7	guessed br=0.05	metaumbrella	0.999966666666667	-0.0417685160114055	0.643335702184554
or=0.5	n=75	br=0.7	guessed br=0.05	or = rr	0.439466666666667	0.452123781300155	0.981541615985901
or=0.5	n=75	br=0.7	guessed br=0.15	Di Pietrantonj	1	0	0.966598755714355
or=0.5	n=75	br=0.7	guessed br=0.15	Grant	0.5566	0.412739085871216	1.00490407828036
or=0.5	n=75	br=0.7	guessed br=0.15	metaumbrella	1	-0.0397973466036409	0.656410592577008
or=0.5	n=75	br=0.7	guessed br=0.15	or = rr	0.436566666666667	0.450473997226792	0.995676014554134
or=0.5	n=75	br=0.7	guessed br=0.4	Di Pietrantonj	1	0	0.949409284799176
or=0.5	n=75	br=0.7	guessed br=0.4	Grant	0.793064354784928	0.317344289846358	1.05636809898849
or=0.5	n=75	br=0.7	guessed br=0.4	metaumbrella	1	-0.0398458320852204	0.647127734474298
or=0.5	n=75	br=0.7	guessed br=0.4	or = rr	0.4399	0.449306115224568	0.984150447165521
or=0.5	n=75	br=0.7	guessed br=0.7	Di Pietrantonj	1	0	0.951292359797857
or=0.5	n=75	br=0.7	guessed br=0.7	Grant	0.972883622450875	0.0720477732972451	1.24854132685413
or=0.5	n=75	br=0.7	guessed br=0.7	metaumbrella	1	-0.0395402372897764	0.648211065742364
or=0.5	n=75	br=0.7	guessed br=0.7	or = rr	0.442	0.448308237670649	0.979272739949782
or=0.5	n=100	br=0.01	guessed br=0.01	Di Pietrantonj	1	-0.0678412471299862	2.24962330239409
or=0.5	n=100	br=0.01	guessed br=0.01	Grant	1	0.00720141953055645	3.96515215628697
or=0.5	n=100	br=0.01	guessed br=0.01	metaumbrella	1	0.00150183480720584	1.79018651254892
or=0.5	n=100	br=0.01	guessed br=0.01	or = rr	1	0.00497203595917227	3.82012686731916
or=0.5	n=100	br=0.01	guessed br=0.05	Di Pietrantonj	1	-0.0692773148499344	2.25361313238464
or=0.5	n=100	br=0.01	guessed br=0.05	Grant	1	0.0193605253121383	3.62643188379873
or=0.5	n=100	br=0.01	guessed br=0.05	metaumbrella	1	0.000414482839846716	1.70766150556775
or=0.5	n=100	br=0.01	guessed br=0.05	or = rr	1	0.00478874704028248	3.81396904564094
or=0.5	n=100	br=0.01	guessed br=0.15	Di Pietrantonj	1	-0.0708148640221876	2.20729867746687
or=0.5	n=100	br=0.01	guessed br=0.15	Grant	1	0.032664970079856	3.64550924956089
or=0.5	n=100	br=0.01	guessed br=0.15	metaumbrella	1	0.000399012093297334	1.64178506337678
or=0.5	n=100	br=0.01	guessed br=0.15	or = rr	1	0.00486648183517406	3.72552392292291
or=0.5	n=100	br=0.01	guessed br=0.4	Di Pietrantonj	1	-0.0671812850024238	2.23504409126189
or=0.5	n=100	br=0.01	guessed br=0.4	Grant	1	0.239096348535215	1.19778725467717
or=0.5	n=100	br=0.01	guessed br=0.4	metaumbrella	1	0.000456061137724391	1.73049889211146
or=0.5	n=100	br=0.01	guessed br=0.4	or = rr	1	0.00517725312984835	3.81364867375086
or=0.5	n=100	br=0.01	guessed br=0.7	Di Pietrantonj	1	-0.0687174352789922	2.20007251347334
or=0.5	n=100	br=0.01	guessed br=0.7	Grant	1	-0.449114940406869	2.39060921751425
or=0.5	n=100	br=0.01	guessed br=0.7	metaumbrella	1	0.000806806103672731	1.69405683665912
or=0.5	n=100	br=0.01	guessed br=0.7	or = rr	1	0.00502350183860883	3.7288984203843
or=0.5	n=100	br=0.05	guessed br=0.01	Di Pietrantonj	1	-0.0568774975085535	1.31192820894109
or=0.5	n=100	br=0.05	guessed br=0.01	Grant	1	0.0251277124420619	1.73926334432633
or=0.5	n=100	br=0.05	guessed br=0.01	metaumbrella	1	-0.0209151692608175	1.25415766299745
or=0.5	n=100	br=0.05	guessed br=0.01	or = rr	1	0.0259175999060827	1.69528615385175
or=0.5	n=100	br=0.05	guessed br=0.05	Di Pietrantonj	1	-0.0565248356690807	1.32373191233455
or=0.5	n=100	br=0.05	guessed br=0.05	Grant	1	0.0234878800952192	1.67617200287962
or=0.5	n=100	br=0.05	guessed br=0.05	metaumbrella	1	-0.0204091573786903	1.27078657207189
or=0.5	n=100	br=0.05	guessed br=0.05	or = rr	1	0.0259513188333901	1.70094061318891
or=0.5	n=100	br=0.05	guessed br=0.15	Di Pietrantonj	1	-0.0558337764840146	1.33616355069985
or=0.5	n=100	br=0.05	guessed br=0.15	Grant	1	0.0136384508882978	1.93365979967093
or=0.5	n=100	br=0.05	guessed br=0.15	metaumbrella	1	-0.0201962920294131	1.27857743266503
or=0.5	n=100	br=0.05	guessed br=0.15	or = rr	1	0.0260383649012619	1.72338179607256
or=0.5	n=100	br=0.05	guessed br=0.4	Di Pietrantonj	1	-0.0565240681991041	1.32651150448019
or=0.5	n=100	br=0.05	guessed br=0.4	Grant	1	-0.0592031920678538	1.31875544908879
or=0.5	n=100	br=0.05	guessed br=0.4	metaumbrella	1	-0.0202701659278034	1.27177287300491
or=0.5	n=100	br=0.05	guessed br=0.4	or = rr	1	0.0257283514459389	1.70311654631605
or=0.5	n=100	br=0.05	guessed br=0.7	Di Pietrantonj	1	-0.0563129328947755	1.32716909193846
or=0.5	n=100	br=0.05	guessed br=0.7	Grant	1	-0.5891720222216	1.65963238371625
or=0.5	n=100	br=0.05	guessed br=0.7	metaumbrella	1	-0.0201773525219381	1.27669512796897
or=0.5	n=100	br=0.05	guessed br=0.7	or = rr	1	0.0258151926409222	1.7062841296145
or=0.5	n=100	br=0.15	guessed br=0.01	Di Pietrantonj	1	-0.0075697899782717	0.941366535087463
or=0.5	n=100	br=0.15	guessed br=0.01	Grant	1	0.0761588945740507	1.05236218468329
or=0.5	n=100	br=0.15	guessed br=0.01	metaumbrella	1	-0.0337945682403133	0.835550295470873
or=0.5	n=100	br=0.15	guessed br=0.01	or = rr	1	0.0796989504273101	1.04619612463156
or=0.5	n=100	br=0.15	guessed br=0.05	Di Pietrantonj	1	-0.00735231084825855	0.944550216728797
or=0.5	n=100	br=0.15	guessed br=0.05	Grant	1	0.0615526572366188	1.05339641020832
or=0.5	n=100	br=0.15	guessed br=0.05	metaumbrella	1	-0.0345294488783173	0.836329994638588
or=0.5	n=100	br=0.15	guessed br=0.05	or = rr	1	0.0792656591928614	1.05076471952053
or=0.5	n=100	br=0.15	guessed br=0.15	Di Pietrantonj	1	-0.00814436684724393	0.924860894654003
or=0.5	n=100	br=0.15	guessed br=0.15	Grant	1	0.0249552486287471	1.05008365397495
or=0.5	n=100	br=0.15	guessed br=0.15	metaumbrella	1	-0.0341754375651567	0.826094611955394
or=0.5	n=100	br=0.15	guessed br=0.15	or = rr	1	0.0798122301634056	1.03640209186018
or=0.5	n=100	br=0.15	guessed br=0.4	Di Pietrantonj	1	-0.0076879636621029	0.950674273690791
or=0.5	n=100	br=0.15	guessed br=0.4	Grant	1	-0.117904664007859	1.22307728192667
or=0.5	n=100	br=0.15	guessed br=0.4	metaumbrella	1	-0.0333287168034909	0.843371558244015
or=0.5	n=100	br=0.15	guessed br=0.4	or = rr	1	0.0796633633723858	1.05263157679362
or=0.5	n=100	br=0.15	guessed br=0.7	Di Pietrantonj	1	-0.00740083440206516	0.935429417622138
or=0.5	n=100	br=0.15	guessed br=0.7	Grant	1	-0.469371754726907	0.417104539397509
or=0.5	n=100	br=0.15	guessed br=0.7	metaumbrella	1	-0.0329130602962606	0.833067939595119
or=0.5	n=100	br=0.15	guessed br=0.7	or = rr	1	0.07963903358921	1.03965232181404
or=0.5	n=100	br=0.4	guessed br=0.01	Di Pietrantonj	1	-8.62647645840166e-05	0.955674226930867
or=0.5	n=100	br=0.4	guessed br=0.01	Grant	0.983266666666667	0.223361048862655	0.954816855239632
or=0.5	n=100	br=0.4	guessed br=0.01	metaumbrella	1	-0.0447347149108528	0.649545994375771
or=0.5	n=100	br=0.4	guessed br=0.01	or = rr	0.9826	0.226897768543346	0.953878268314558
or=0.5	n=100	br=0.4	guessed br=0.05	Di Pietrantonj	1	-4.25789100270463e-05	0.953974020759816
or=0.5	n=100	br=0.4	guessed br=0.05	Grant	0.986066666666667	0.208908608622602	0.962359449697545
or=0.5	n=100	br=0.4	guessed br=0.05	metaumbrella	1	-0.0448673323879823	0.650343019469155
or=0.5	n=100	br=0.4	guessed br=0.05	or = rr	0.981933333333333	0.22714921018257	0.956949647425877
or=0.5	n=100	br=0.4	guessed br=0.15	Di Pietrantonj	1	-3.03948330496363e-05	0.954753791011222
or=0.5	n=100	br=0.4	guessed br=0.15	Grant	0.99429904984164	0.166827230530753	0.980704992927553
or=0.5	n=100	br=0.4	guessed br=0.15	metaumbrella	0.999966666666667	-0.0445617718991044	0.652438884959247
or=0.5	n=100	br=0.4	guessed br=0.15	or = rr	0.9827	0.226084618968223	0.958985731129566
or=0.5	n=100	br=0.4	guessed br=0.4	Di Pietrantonj	1	-7.56082576561294e-05	0.968020670360113
or=0.5	n=100	br=0.4	guessed br=0.4	Grant	0.999865297188079	0.0243095089156079	1.1074059621216
or=0.5	n=100	br=0.4	guessed br=0.4	metaumbrella	0.999966666666667	-0.0459069774891696	0.656975724027808
or=0.5	n=100	br=0.4	guessed br=0.4	or = rr	0.983066666666667	0.228006450390774	0.969724212856326
or=0.5	n=100	br=0.4	guessed br=0.7	Di Pietrantonj	1	-4.84548847716464e-05	0.955973211824695
or=0.5	n=100	br=0.4	guessed br=0.7	Grant	1	-0.316570647775732	0.645094357441717
or=0.5	n=100	br=0.4	guessed br=0.7	metaumbrella	1	-0.0440874641848036	0.654140807796749
or=0.5	n=100	br=0.4	guessed br=0.7	or = rr	0.983133333333333	0.226868728505646	0.959154820065762
or=0.5	n=100	br=0.7	guessed br=0.01	Di Pietrantonj	1	0	0.96090157652081
or=0.5	n=100	br=0.7	guessed br=0.01	Grant	0.358866666666667	0.444944939711833	0.982795154390732
or=0.5	n=100	br=0.7	guessed br=0.01	metaumbrella	0.999266666666667	-0.0290134363940684	0.667052545949552
or=0.5	n=100	br=0.7	guessed br=0.01	or = rr	0.357766666666667	0.447202387421276	0.982578281793082
or=0.5	n=100	br=0.7	guessed br=0.05	Di Pietrantonj	1	0	0.951036336460645
or=0.5	n=100	br=0.7	guessed br=0.05	Grant	0.398866666666667	0.433825075084361	0.973841746276122
or=0.5	n=100	br=0.7	guessed br=0.05	metaumbrella	0.998833333333333	-0.0306162596279916	0.645803488141574
