or	n	br	br_guess	method	bias_ci	bias_es	bias_var
or=0.25	n=25	br=0.15	guessed br=0.4	metaumbrella	1	-0.0867585179683389	1.5325075190489
or=0.25	n=25	br=0.15	guessed br=0.4	or = rr	1	0.121141112851015	2.3822213546744
or=0.25	n=25	br=0.15	guessed br=0.7	Di Pietrantonj	1	-0.196293212937783	1.16828490703787
or=0.25	n=25	br=0.15	guessed br=0.7	Grant	1	-0.535043508780172	2.64584446626508
or=0.25	n=25	br=0.15	guessed br=0.7	metaumbrella	1	-0.0890146964238983	1.54844438121274
or=0.25	n=25	br=0.15	guessed br=0.7	or = rr	1	0.12355606138643	2.37991406289788
or=0.25	n=25	br=0.4	guessed br=0.01	Di Pietrantonj	1	-0.121672604821745	0.947349424721399
or=0.25	n=25	br=0.4	guessed br=0.01	Grant	0.989030773847231	0.374470659938796	1.5267456852104
or=0.25	n=25	br=0.4	guessed br=0.01	metaumbrella	1	-0.17766678457403	0.90841135114429
or=0.25	n=25	br=0.4	guessed br=0.01	or = rr	0.989	0.37988090652112	1.51556848305124
or=0.25	n=25	br=0.4	guessed br=0.05	Di Pietrantonj	1	-0.12438258832257	0.937282600215652
or=0.25	n=25	br=0.4	guessed br=0.05	Grant	0.990160398975603	0.354678641861043	1.53194422672874
or=0.25	n=25	br=0.4	guessed br=0.05	metaumbrella	1	-0.17694547196257	0.901321809229876
or=0.25	n=25	br=0.4	guessed br=0.05	or = rr	0.988	0.382307365247745	1.51283412037213
or=0.25	n=25	br=0.4	guessed br=0.15	Di Pietrantonj	1	-0.119092215636991	0.950002234875082
or=0.25	n=25	br=0.4	guessed br=0.15	Grant	0.994072192230338	0.291339689304506	1.53572770773271
or=0.25	n=25	br=0.4	guessed br=0.15	metaumbrella	1	-0.176842731573942	0.896338721299482
or=0.25	n=25	br=0.4	guessed br=0.15	or = rr	0.9892	0.37726943204265	1.49659303076071
or=0.25	n=25	br=0.4	guessed br=0.4	Di Pietrantonj	1	-0.120946791954604	0.955191701328109
or=0.25	n=25	br=0.4	guessed br=0.4	Grant	0.995939871429262	0.0942123127484752	1.74860494240933
or=0.25	n=25	br=0.4	guessed br=0.4	metaumbrella	1	-0.180743046202489	0.910222650965725
or=0.25	n=25	br=0.4	guessed br=0.4	or = rr	0.9883	0.38491123185222	1.51708008176292
or=0.25	n=25	br=0.4	guessed br=0.7	Di Pietrantonj	1	-0.123445267265027	0.945267641060101
or=0.25	n=25	br=0.4	guessed br=0.7	Grant	0.999150279193979	-0.390488772829132	1.40327447261382
or=0.25	n=25	br=0.4	guessed br=0.7	metaumbrella	1	-0.175945832725683	0.913066226722469
or=0.25	n=25	br=0.4	guessed br=0.7	or = rr	0.988733333333333	0.380068496085515	1.52663888077685
or=0.25	n=25	br=0.7	guessed br=0.01	Di Pietrantonj	1	-0.000689654408483577	1.0686071726198
or=0.25	n=25	br=0.7	guessed br=0.01	Grant	0.607466666666667	0.827065357122284	1.01310526468297
or=0.25	n=25	br=0.7	guessed br=0.01	metaumbrella	1	-0.145009996073575	0.797583068576433
or=0.25	n=25	br=0.7	guessed br=0.01	or = rr	0.6073	0.831567065703818	1.01168786432035
or=0.25	n=25	br=0.7	guessed br=0.05	Di Pietrantonj	1	-0.000380457383113059	1.08600351052011
or=0.25	n=25	br=0.7	guessed br=0.05	Grant	0.632108807253817	0.809130480968219	1.04065038956997
or=0.25	n=25	br=0.7	guessed br=0.05	metaumbrella	1	-0.144520217707972	0.814356264475533
or=0.25	n=25	br=0.7	guessed br=0.05	or = rr	0.603453448448282	0.832427000863082	1.03125530164553
or=0.25	n=25	br=0.7	guessed br=0.15	Di Pietrantonj	1	-0.000416697886036307	1.0749192808404
or=0.25	n=25	br=0.7	guessed br=0.15	Grant	0.694860920960363	0.754405227009875	1.04697485851788
or=0.25	n=25	br=0.7	guessed br=0.15	metaumbrella	1	-0.143739367756766	0.809723444228131
or=0.25	n=25	br=0.7	guessed br=0.15	or = rr	0.604166666666667	0.829164106859967	1.01998813698677
or=0.25	n=25	br=0.7	guessed br=0.4	Di Pietrantonj	1	-0.00035210825717335	1.06732459784781
or=0.25	n=25	br=0.7	guessed br=0.4	Grant	0.806910850034554	0.577733461427291	1.15961658018011
or=0.25	n=25	br=0.7	guessed br=0.4	metaumbrella	1	-0.144001473943288	0.801187735094895
or=0.25	n=25	br=0.7	guessed br=0.4	or = rr	0.605566666666667	0.827543761576714	1.01107716026856
or=0.25	n=25	br=0.7	guessed br=0.7	Di Pietrantonj	1	-0.000375171641272204	1.07913000795657
or=0.25	n=25	br=0.7	guessed br=0.7	Grant	0.925937245313773	0.169496426912366	1.17609357947878
or=0.25	n=25	br=0.7	guessed br=0.7	metaumbrella	1	-0.144151697436996	0.806101001397069
or=0.25	n=25	br=0.7	guessed br=0.7	or = rr	0.608373891592773	0.824266798554827	1.02686911582875
or=0.25	n=50	br=0.01	guessed br=0.01	Di Pietrantonj	1	-0.0302249487895189	2.73916384638697
or=0.25	n=50	br=0.01	guessed br=0.01	Grant	1	0.00878232590259975	5.73257738784111
or=0.25	n=50	br=0.01	guessed br=0.01	metaumbrella	1	-0.0103029684622602	2.07539542694901
or=0.25	n=50	br=0.01	guessed br=0.01	or = rr	1	0.00737158533357844	5.44423532794118
or=0.25	n=50	br=0.01	guessed br=0.05	Di Pietrantonj	1	-0.0326257671425339	2.70715932289488
or=0.25	n=50	br=0.01	guessed br=0.05	Grant	1	0.0164145076963702	4.80619575693799
or=0.25	n=50	br=0.01	guessed br=0.05	metaumbrella	1	-0.0151306045452427	2.02214496372965
or=0.25	n=50	br=0.01	guessed br=0.05	or = rr	1	0.0074184985476473	5.36257215363025
or=0.25	n=50	br=0.01	guessed br=0.15	Di Pietrantonj	1	-0.0312768539968986	2.71472849044358
or=0.25	n=50	br=0.01	guessed br=0.15	Grant	1	0.0349843395777754	3.70698523383601
or=0.25	n=50	br=0.01	guessed br=0.15	metaumbrella	1	-0.0115967109477106	2.23844946100798
or=0.25	n=50	br=0.01	guessed br=0.15	or = rr	1	0.00754917629190815	5.40024541011847
or=0.25	n=50	br=0.01	guessed br=0.4	Di Pietrantonj	1	-0.0317719242847754	2.70945931124038
or=0.25	n=50	br=0.01	guessed br=0.4	Grant	1	0.387344029229552	1.05519180301099
or=0.25	n=50	br=0.01	guessed br=0.4	metaumbrella	1	-0.0171877704126964	2.05899690703727
or=0.25	n=50	br=0.01	guessed br=0.4	or = rr	1	0.00736945807569704	5.39234764968063
or=0.25	n=50	br=0.01	guessed br=0.7	Di Pietrantonj	1	-0.0312766326596974	2.71782310416112
or=0.25	n=50	br=0.01	guessed br=0.7	Grant	1	-0.472551588390611	2.79284021716574
or=0.25	n=50	br=0.01	guessed br=0.7	metaumbrella	1	-0.015839263764523	1.92305819859771
or=0.25	n=50	br=0.01	guessed br=0.7	or = rr	1	0.00722898030937459	5.40057536085855
or=0.25	n=50	br=0.05	guessed br=0.01	Di Pietrantonj	1	-0.0861770608994622	1.62601841189758
or=0.25	n=50	br=0.05	guessed br=0.01	Grant	1	0.0373464735243573	3.00454351049334
or=0.25	n=50	br=0.05	guessed br=0.01	metaumbrella	1	-0.0496733155883739	1.74891188792261
or=0.25	n=50	br=0.05	guessed br=0.01	or = rr	1	0.0393592248673764	2.91583713819755
or=0.25	n=50	br=0.05	guessed br=0.05	Di Pietrantonj	1	-0.0856869124923612	1.64333498917387
