r	br	n	method	bias_ci	bias_es	bias_var
r=0	br=0.5	n=100	Cooper (r)	1	0.000295189711635248	4.13323441232324
r=0	br=0.5	n=100	Digby (r)	1	0.00162841154909156	0.976952207787609
r=0	br=0.5	n=100	Pearson (r)	1	0.00182777470318237	0.976951003122324
r=0	br=0.5	n=100	Bonett (z)	1	0.00156461309729611	0.978049476805609
r=0	br=0.5	n=100	Cooper (z)	1	0.000304863989469659	3.97390132497314
r=0	br=0.5	n=100	Digby (z)	1	0.00171639150274501	0.976856551958496
r=0	br=0.5	n=100	Pearson (z)	1	0.00193377833206097	0.976961097354155
r=0	br=0.5	n=300	Bonett (r)	1	5.01146467157883e-05	1.0007785446317
r=0	br=0.5	n=300	Cooper (r)	1	1.20221755166509e-05	7.38910845009224
r=0	br=0.5	n=300	Digby (r)	1	1.10761702213542e-05	1.00225208109559
r=0	br=0.5	n=300	Pearson (r)	1	1.6377982831325e-05	1.00224950680789
r=0	br=0.5	n=300	Bonett (z)	1	4.64513076217189e-05	1.00033539970781
r=0	br=0.5	n=300	Cooper (z)	1	1.18576441668435e-05	7.19959830010549
r=0	br=0.5	n=300	Digby (z)	1	6.46470991651405e-06	1.00181039582804
r=0	br=0.5	n=300	Pearson (z)	1	1.08073266009021e-05	1.00177586433322
r=0	br=0.7	n=25	Bonett (r)	1	-0.000672032102600995	0.986502705163271
r=0	br=0.7	n=25	Cooper (r)	1	-1.37417259755677e-05	1.76704824864379
r=0	br=0.7	n=25	Digby (r)	1	-0.000268063148700955	0.997369950102436
r=0	br=0.7	n=25	Pearson (r)	1	-0.000307070784226177	0.997348633485402
r=0	br=0.7	n=25	Bonett (z)	1	-0.000801479123075682	1.01292054598654
r=0	br=0.7	n=25	Cooper (z)	1	1.2277231427753e-06	1.67092292911745
r=0	br=0.7	n=25	Digby (z)	1	-0.000249895814625066	1.0241543571529
r=0	br=0.7	n=25	Pearson (z)	1	-0.000272972917102393	1.0308269263038
r=0	br=0.7	n=50	Bonett (r)	1	-0.000323948679236435	0.943659687067061
r=0	br=0.7	n=50	Cooper (r)	1	0.000401093029350154	2.4624932696614
r=0	br=0.7	n=50	Digby (r)	1	8.7662277983947e-05	0.943558481751696
r=0	br=0.7	n=50	Pearson (r)	1	4.39169734692904e-05	0.943786693294381
r=0	br=0.7	n=50	Bonett (z)	1	-0.000378639740750034	0.942252200773346
r=0	br=0.7	n=50	Cooper (z)	1	0.000480607108827566	2.32328827745403
r=0	br=0.7	n=50	Digby (z)	1	0.000296115585255424	0.940200935180298
r=0	br=0.7	n=50	Pearson (z)	1	0.000292419138262276	0.941374516267523
r=0	br=0.7	n=75	Bonett (r)	1	0.00155544149596119	0.959326385745037
r=0	br=0.7	n=75	Cooper (r)	1	0.000489741028403936	3.14287937291539
r=0	br=0.7	n=75	Digby (r)	1	0.00194825642082962	0.959822557299337
r=0	br=0.7	n=75	Pearson (r)	1	0.00216357142380688	0.959982474400329
r=0	br=0.7	n=75	Bonett (z)	1	0.00183007057084291	0.956878364574911
r=0	br=0.7	n=75	Cooper (z)	1	0.000574698903373751	2.98764877531123
r=0	br=0.7	n=75	Digby (z)	1	0.00236434448224027	0.954723648644314
r=0	br=0.7	n=75	Pearson (z)	1	0.00267108269596601	0.954788103777545
r=0	br=0.7	n=100	Bonett (r)	1	-0.000369883971726708	0.972012786270315
r=0	br=0.7	n=100	Cooper (r)	1	-0.000137378591211689	3.72198107165233
r=0	br=0.7	n=100	Digby (r)	1	-0.0003140284268437	0.970984088984478
r=0	br=0.7	n=100	Pearson (r)	1	-0.000350268482998883	0.970987302004811
r=0	br=0.7	n=100	Bonett (z)	1	-0.000511629932361844	0.971605816033257
r=0	br=0.7	n=100	Cooper (z)	1	-0.000163207651518389	3.56605064883312
r=0	br=0.7	n=100	Digby (z)	1	-0.000435677325376355	0.97056311223589
r=0	br=0.7	n=100	Pearson (z)	1	-0.000496966438426584	0.970728864129828
r=0	br=0.7	n=300	Bonett (r)	1	-0.000130078543431932	0.978608467702953
r=0	br=0.7	n=300	Cooper (r)	1	2.02115225489491e-05	6.6064864724285
r=0	br=0.7	n=300	Digby (r)	1	-3.55123533104371e-05	0.980287241181263
r=0	br=0.7	n=300	Pearson (r)	1	-4.85011996649628e-05	0.980285205508797
r=0	br=0.7	n=300	Bonett (z)	1	-0.000150125587936337	0.978336536002734
r=0	br=0.7	n=300	Cooper (z)	1	1.84508743196758e-05	6.42441763971459
r=0	br=0.7	n=300	Digby (z)	1	-5.07243423384488e-05	0.979900703625718
r=0	br=0.7	n=300	Pearson (z)	1	-6.68007569344869e-05	0.979877937616129
r=0.1	br=0.3	n=25	Bonett (r)	1	0.0565395380602522	0.9306550230586
r=0.1	br=0.3	n=25	Cooper (r)	1	0.014897554584657	1.73799908757004
r=0.1	br=0.3	n=25	Digby (r)	1	0.0601201163920471	0.934643514983207
r=0.1	br=0.3	n=25	Pearson (r)	1	0.0673605150525768	0.934733654196396
r=0.1	br=0.3	n=25	Bonett (z)	1	0.0729184581558944	0.956942400257617
r=0.1	br=0.3	n=25	Cooper (z)	1	0.017254595908532	1.66726052330838
r=0.1	br=0.3	n=25	Digby (z)	1	0.0776524579632327	0.960786211420152
r=0.1	br=0.3	n=25	Pearson (z)	1	0.0891228542774849	0.968448761594852
r=0.1	br=0.3	n=50	Bonett (r)	1	0.061960397519298	0.932749207873362
r=0.1	br=0.3	n=50	Cooper (r)	1	0.0164931469530152	2.56366588499714
r=0.1	br=0.3	n=50	Digby (r)	1	0.0659152711057549	0.933157974563043
r=0.1	br=0.3	n=50	Pearson (r)	1	0.0737853650482604	0.933412694386849
r=0.1	br=0.3	n=50	Bonett (z)	1	0.0711110429388329	0.932048644875918
r=0.1	br=0.3	n=50	Cooper (z)	1	0.0180519092906558	2.45676144439805
r=0.1	br=0.3	n=50	Digby (z)	1	0.0759482995426656	0.930421227675209
r=0.1	br=0.3	n=50	Pearson (z)	1	0.0860084740412528	0.931852378320296
r=0.1	br=0.3	n=75	Bonett (r)	1	0.0617488747377314	0.978038984454128
r=0.1	br=0.3	n=75	Cooper (r)	1	0.0160683154467319	3.34312453199406
r=0.1	br=0.3	n=75	Digby (r)	1	0.0656182305839546	0.978104874819517
r=0.1	br=0.3	n=75	Pearson (r)	1	0.0734608227638745	0.978218616356421
r=0.1	br=0.3	n=75	Bonett (z)	1	0.0678590189113148	0.975315921747331
r=0.1	br=0.3	n=75	Cooper (z)	1	0.0170932468272661	3.22779398210806
r=0.1	br=0.3	n=75	Digby (z)	1	0.0723014441521093	0.974573438167183
r=0.1	br=0.3	n=75	Pearson (z)	1	0.0815441569254046	0.974795185968389
r=0.1	br=0.3	n=100	Bonett (r)	1	0.0616794838906274	0.963575097657096
r=0.1	br=0.3	n=100	Cooper (r)	1	0.0160698078999544	3.81554931903724
r=0.1	br=0.3	n=100	Digby (r)	0.999866666666667	0.0656932396213651	0.960690266323237
r=0.1	br=0.3	n=100	Pearson (r)	0.999866666666667	0.0735148078300569	0.960740223157627
r=0.1	br=0.3	n=100	Bonett (z)	1	0.0664583658997888	0.963146717200989
r=0.1	br=0.3	n=100	Cooper (z)	1	0.016886940285365	3.70512893177944
r=0.1	br=0.3	n=100	Digby (z)	0.999866666666667	0.0709709555980345	0.959028440872774
r=0.1	br=0.3	n=100	Pearson (z)	0.999866666666667	0.0798734753341582	0.959221358781748
r=0.1	br=0.3	n=300	Bonett (r)	0.999733333333333	0.062204856912529	1.00653581187095
r=0.1	br=0.3	n=300	Cooper (r)	1	0.0155296165845695	7.0112288599516
r=0.1	br=0.3	n=300	Digby (r)	0.9988	0.0661077671570088	1.00617650656491
r=0.1	br=0.3	n=300	Pearson (r)	0.9972	0.074003462059267	1.00617748975732
r=0.1	br=0.3	n=300	Bonett (z)	0.999733333333333	0.0644785899480027	1.00545791747308
r=0.1	br=0.3	n=300	Cooper (z)	1	0.0158997425315116	6.91204319625047
r=0.1	br=0.3	n=300	Digby (z)	0.9988	0.0685993064495048	1.00488547948835
r=0.1	br=0.3	n=300	Pearson (z)	0.9972	0.0769862063317928	1.00482946570176
r=0.1	br=0.5	n=25	Bonett (r)	1	0.0552513991331619	0.921060164436862
