"rho","n","p_exp","p_case","dgm","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0,25,0.3,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,0.07208443600117,0.0101113662479551,0.319749475996889,0.00715339323222745,0.418887982709711,1.31005056819479,0.0293082790493503,0.327618152101637,0.94,0.00750999334220744,1.61861411231273,"09a_or_to_cor_CONT",1000
0.1,25,0.3,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,0.0373208309969433,0.0102811723029037,0.325119214938142,0.0072735243257388,0.413744398326163,1.27259288075263,0.0284702805913128,0.327092717504341,0.938,0.00762600813007697,1.59335155833435,"09a_or_to_cor_CONT",1000
0.25,25,0.3,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,0.00210780556482043,0.0101324036670305,0.320414737600586,0.0071682763773482,0.397692941143616,1.24118180119218,0.0277675560497194,0.320261426512591,0.943,0.00733150734842434,1.52268311286826,"09a_or_to_cor_CONT",1000
0.5,25,0.3,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.0782363224637086,0.00950772236734806,0.30066058041348,0.006726338970289,0.367679780365086,1.2229065075955,0.0273587035844453,0.310527470576439,0.943,0.00733150734842434,1.38042242651698,"09a_or_to_cor_CONT",1000
0.75,25,0.3,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.125827412405658,0.006950780218087,0.219802970043968,0.0049174031433012,0.310458128888503,1.41243827973026,0.0315988834685681,0.253174979030735,0.974,0.00503229569878401,1.1278646755342,"09a_or_to_cor_CONT",1000
0,50,0.3,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.00698231285962386,0.00904181258293301,0.285927219384384,0.00639672615467794,0.31740933027698,1.11010533016192,0.0248351304754511,0.285869503625292,0.944,0.00727076337120113,1.23060995963091,"09a_or_to_cor_CONT",1000
0.1,50,0.3,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.00735754702106148,0.0092585845091002,0.292782149579086,0.00655008375161939,0.311548935469134,1.06409812181866,0.0238058632600154,0.292728200252735,0.928,0.00817410545564467,1.20615032181283,"09a_or_to_cor_CONT",1000
0.25,50,0.3,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.0322654945626267,0.00930977680675207,0.294400992171458,0.00658630028522968,0.299187019441679,1.01625683132017,0.0227355641997716,0.296017456219592,0.908,0.00913980306133562,1.15158035135447,"09a_or_to_cor_CONT",1000
0.5,50,0.3,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.016909548670598,0.00769946667260589,0.243478514539926,0.00544706931159957,0.259646724307327,1.06640507807415,0.023857474182015,0.243943514141634,0.928,0.00817410545564467,0.981319193330809,"09a_or_to_cor_CONT",1000
0.75,50,0.3,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.050738334879043,0.00499164185006872,0.157849575100339,0.00353138993805178,0.200659665034822,1.27120814172145,0.0284393013917906,0.165728544606221,0.979,0.00453420334788814,0.742944866299508,"09a_or_to_cor_CONT",1000
0,100,0.3,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.0208868654127016,0.0071081177567025,0.224778419878665,0.00502871325276688,0.226079296037958,1.00578737122538,0.0225013428151904,0.225634824111604,0.937,0.00768316341099159,0.880371516273558,"09a_or_to_cor_CONT",1000
